	RDA1	RDA2	RDA3	RDA4
OTU_26404	1.87470028054039	0.547541922964377	0.073770607466312	-0.347995202056789
OTU_26246	-0.123520706194668	0.79182902431733	-0.828229107372644	-0.185540112635473
OTU_18330	0.165370759272782	-0.654420994618952	-0.371770667390233	-0.4753536941709
OTU_25480	-0.493715671871848	0.623257188349022	0.894991788493987	-0.367901672040405
OTU_24868	-0.760890807809147	0.364428557217782	-0.917257985693471	0.238300744456581
OTU_19094	-0.214174331955697	0.0656680369994383	-0.0206790622683173	-0.0271889787388436
OTU_17060	0.0177266026999761	-0.41761186320688	-0.13014142417565	-0.146511670826866
OTU_25834	-0.0338123237200403	-0.0142498434986023	0.0221830636696017	0.176045051458154
OTU_34735	-0.1207339787244	0.0964700506754934	0.407954170959234	0.190999398726779
OTU_12326	-0.353190026786165	-0.920753391908181	0.142627668153232	-1.22018012301423
OTU_23001	-0.342985025633746	0.0892078321639129	-0.0129603175912399	-0.0479282616716082
OTU_18790	0.156327402461384	0.199158675471055	-0.320178303858041	0.345763847452164
OTU_34752	-0.0765393442890529	0.138199653876533	0.186697434659665	0.0901225550870612
OTU_24739	0.117161216447806	0.101331183625177	-0.0316829068104665	0.116827473233537
OTU_18825	-0.0345600608798563	0.287077598531072	0.210597037873431	0.147851598577109
OTU_30438	0.00366168835596009	0.186050585461369	0.29273031341186	0.186794598721179
OTU_27707	-0.00332144221244515	-0.002632013346594	0.0196066776262736	0.031489325493927
OTU_21915	-0.0538410837289195	0.0479054844392254	0.0455518052224194	-0.102064990357935
OTU_27519	-0.0981235121510045	0.118398794582028	0.334327349528592	0.138726400979599
OTU_17460	-0.0322275541231556	-0.113260909071578	0.328264198407276	-0.127270167341175
OTU_25109	-0.113652254778516	0.16462476048067	0.287833396234074	0.00904556549382945
OTU_31319	0.0689098554400125	0.228718917763033	-0.0207660494348794	-0.116576164052083
OTU_14078	-0.0934570306436364	0.382031916241921	0.151854719080129	-0.2766036488816
OTU_30240	-0.0601015152152361	0.255255971742015	0.333932518937796	0.0251698229210374
OTU_20501	-0.10347138542849	0.0527911191598301	0.0872342537669684	0.310748151328264
OTU_4075	0.028427209728093	-0.330882371404686	0.131650573659392	0.407086526596803
OTU_5241	-0.101492290923214	0.0778259827783117	0.100209283747423	-0.127777270830022
OTU_7289	-0.0136139034094755	0.230473130144648	0.102169868349097	0.0867328400034869
OTU_6001	-0.382923174184411	0.247823243329475	-0.178809188000787	0.0460775336078537
