IND	TEJ	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium	-0.000281079187028911	0.00203473425135131	0.000369566473787612	0.793016176971323
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales|Rhodocyclaceae|Dechloromonas	0.000251868492588968	0.000617730961725256	0.000348758980272521	0.713550168576692
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XII|Acidaminobacter	0.000490274938384746	4.86327816242128e-06	0.000335909795132036	0.73738798179268
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Mycobacteriaceae|Mycobacterium	0.00057827536749865	-0.000406482283302758	0.000311359977522955	0.905744890633994
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Dyella	0.0003990840414954	-1.66635593719757e-05	0.000291039168395424	0.967145867389965
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Bacteroides	0.000146486901975388	0.000630081158223936	0.00028846039889409	0.832029534872305
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Micromonospora	0.000322358668257215	0.000223021875956717	0.000282273100102855	0.876667876383874
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Leptospiraceae|Leptonema	0.000402361359507892	-0.000207960449925033	0.000253453493293698	0.753261667671743
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae|Streptomyces	8.18677338599821e-05	0.00054449554442702	0.000198505367848016	0.925801110510138
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio	0.000201251606352784	0.000192836716856561	0.000194396389334053	0.885627523417244
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium	0.000158277979475843	0.000216759541729096	0.000194036529739903	0.88041182380286
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Pseudoduganella	-4.77452052860143e-05	0.000779683842390861	0.000173566064492856	0.812619730042272
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Dactylosporangium	0.00019799798481437	2.45748745353e-05	0.000141092864097074	0.63882915366152
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Aquitalea	0.000213391331107586	-2.82803857571785e-05	0.000136145211541834	0.659640492013028
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Pandoraea	0.000129126765963318	5.06371815368967e-05	0.000119585398475358	0.933113052154846
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto	0.000184619723699197	-7.56515570217466e-06	0.000112402934781979	0.625396939858138
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Cedecea	0.000177375999811831	-7.07943853896105e-05	0.000103709170136751	0.629867094985436
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Microbacterium	-7.76713510427433e-05	0.000438299415171762	6.68653378896808e-05	0.602375047664418
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter	0.000167754896508178	-0.000222804271784001	5.87296410177168e-05	0.981907021461529
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Fusibacter	4.41163876390575e-05	4.94996963428889e-05	3.22473454239645e-05	0.55600083278416
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Tabrizicola	-0.000100593274526936	-0.000275327532915786	-0.000145309621549992	0.746164963403326
