source,target,correlation,direct,cor
ASV_1414,ASV_1,-1,undirected,-
ASV_838,ASV_5,1,undirected,+
ASV_961,ASV_5,1,undirected,+
ASV_2118,ASV_11,1,undirected,+
ASV_1065,ASV_11,-1,undirected,-
ASV_3187,ASV_11,-1,undirected,-
ASV_1641,ASV_7,1,undirected,+
ASV_5697,ASV_7,1,undirected,+
ASV_23,ASV_21,-1,undirected,-
ASV_298,ASV_21,-1,undirected,-
ASV_495,ASV_21,-1,undirected,-
ASV_871,ASV_21,1,undirected,+
ASV_3056,ASV_21,1,undirected,+
ASV_1736,ASV_21,1,undirected,+
ASV_273,ASV_47,-1,undirected,-
ASV_1217,ASV_47,1,undirected,+
ASV_630,ASV_47,1,undirected,+
ASV_735,ASV_47,-1,undirected,-
ASV_2613,ASV_47,1,undirected,+
ASV_1236,ASV_47,-1,undirected,-
ASV_455,ASV_39,1,undirected,+
ASV_1120,ASV_39,1,undirected,+
ASV_406,ASV_39,1,undirected,+
ASV_49,ASV_196,-1,undirected,-
ASV_812,ASV_196,1,undirected,+
ASV_540,ASV_196,1,undirected,+
ASV_695,ASV_196,-1,undirected,-
ASV_2032,ASV_196,1,undirected,+
ASV_228,ASV_30,-1,undirected,-
ASV_596,ASV_30,1,undirected,+
ASV_944,ASV_30,-1,undirected,-
ASV_478,ASV_30,-1,undirected,-
ASV_510,ASV_30,1,undirected,+
ASV_1342,ASV_442,-1,undirected,-
ASV_1607,ASV_442,1,undirected,+
ASV_749,ASV_442,1,undirected,+
ASV_41,ASV_40,1,undirected,+
ASV_81,ASV_40,-1,undirected,-
ASV_95,ASV_40,1,undirected,+
ASV_970,ASV_40,1,undirected,+
ASV_85,ASV_40,-1,undirected,-
ASV_235,ASV_40,-1,undirected,-
ASV_421,ASV_40,1,undirected,+
ASV_258,ASV_40,-1,undirected,-
ASV_1025,ASV_40,-1,undirected,-
ASV_2633,ASV_40,1,undirected,+
ASV_5228,ASV_40,-1,undirected,-
ASV_3791,ASV_40,1,undirected,+
ASV_1365,ASV_40,1,undirected,+
ASV_1033,ASV_40,1,undirected,+
ASV_135,ASV_33,1,undirected,+
ASV_171,ASV_33,-1,undirected,-
ASV_1244,ASV_33,1,undirected,+
ASV_73,ASV_213,1,undirected,+
ASV_341,ASV_213,-1,undirected,-
ASV_886,ASV_213,1,undirected,+
ASV_80,ASV_35,1,undirected,+
ASV_276,ASV_35,1,undirected,+
ASV_253,ASV_35,1,undirected,+
ASV_1180,ASV_35,-1,undirected,-
ASV_51,ASV_35,1,undirected,+
ASV_874,ASV_35,1,undirected,+
ASV_34,ASV_35,1,undirected,+
ASV_164,ASV_35,1,undirected,+
ASV_1976,ASV_35,-1,undirected,-
ASV_1100,ASV_35,1,undirected,+
ASV_1280,ASV_35,-1,undirected,-
ASV_814,ASV_35,1,undirected,+
ASV_1012,ASV_22,1,undirected,+
ASV_959,ASV_22,-1,undirected,-
ASV_67,ASV_152,1,undirected,+
ASV_111,ASV_152,1,undirected,+
ASV_774,ASV_152,-1,undirected,-
ASV_2770,ASV_152,1,undirected,+
ASV_1978,ASV_152,1,undirected,+
ASV_1292,ASV_103,1,undirected,+
ASV_965,ASV_103,-1,undirected,-
ASV_5134,ASV_103,1,undirected,+
ASV_1489,ASV_103,-1,undirected,-
ASV_845,ASV_103,1,undirected,+
ASV_1028,ASV_103,-1,undirected,-
ASV_4840,ASV_103,1,undirected,+
ASV_643,ASV_50,-1,undirected,-
ASV_583,ASV_50,-1,undirected,-
ASV_1724,ASV_16,1,undirected,+
ASV_40,ASV_41,1,undirected,+
ASV_81,ASV_41,-1,undirected,-
ASV_95,ASV_41,1,undirected,+
ASV_970,ASV_41,1,undirected,+
ASV_85,ASV_41,-1,undirected,-
ASV_235,ASV_41,-1,undirected,-
ASV_421,ASV_41,1,undirected,+
ASV_258,ASV_41,-1,undirected,-
ASV_1025,ASV_41,-1,undirected,-
ASV_2633,ASV_41,1,undirected,+
ASV_5228,ASV_41,-1,undirected,-
ASV_3791,ASV_41,1,undirected,+
ASV_1365,ASV_41,1,undirected,+
ASV_1033,ASV_41,1,undirected,+
ASV_682,ASV_62,-1,undirected,-
ASV_650,ASV_62,1,undirected,+
ASV_1136,ASV_62,-1,undirected,-
ASV_1660,ASV_13,1,undirected,+
ASV_3375,ASV_13,-1,undirected,-
ASV_35,ASV_80,1,undirected,+
ASV_276,ASV_80,1,undirected,+
ASV_253,ASV_80,1,undirected,+
ASV_1180,ASV_80,-1,undirected,-
ASV_51,ASV_80,1,undirected,+
ASV_874,ASV_80,1,undirected,+
ASV_34,ASV_80,1,undirected,+
ASV_164,ASV_80,1,undirected,+
ASV_1976,ASV_80,-1,undirected,-
ASV_1100,ASV_80,1,undirected,+
ASV_1280,ASV_80,-1,undirected,-
ASV_814,ASV_80,1,undirected,+
ASV_99,ASV_52,1,undirected,+
ASV_1159,ASV_52,1,undirected,+
ASV_53,ASV_52,1,undirected,+
ASV_1584,ASV_52,1,undirected,+
ASV_903,ASV_52,-1,undirected,-
ASV_4104,ASV_52,1,undirected,+
ASV_1455,ASV_52,-1,undirected,-
ASV_6663,ASV_52,1,undirected,+
ASV_27,ASV_88,1,undirected,+
ASV_609,ASV_88,1,undirected,+
ASV_1556,ASV_88,1,undirected,+
ASV_987,ASV_88,1,undirected,+
ASV_473,ASV_18,1,undirected,+
ASV_1024,ASV_18,1,undirected,+
ASV_1355,ASV_44,-1,undirected,-
ASV_1130,ASV_44,1,undirected,+
ASV_5757,ASV_44,-1,undirected,-
ASV_1527,ASV_44,-1,undirected,-
ASV_93,ASV_29,-1,undirected,-
ASV_63,ASV_29,1,undirected,+
ASV_843,ASV_29,-1,undirected,-
ASV_932,ASV_29,1,undirected,+
ASV_1483,ASV_29,1,undirected,+
ASV_1391,ASV_29,-1,undirected,-
ASV_629,ASV_29,1,undirected,+
ASV_1436,ASV_29,-1,undirected,-
ASV_2789,ASV_29,1,undirected,+
ASV_985,ASV_29,-1,undirected,-
ASV_1321,ASV_29,1,undirected,+
ASV_2953,ASV_29,1,undirected,+
ASV_688,ASV_29,1,undirected,+
ASV_1430,ASV_29,-1,undirected,-
ASV_3307,ASV_29,1,undirected,+
ASV_1444,ASV_29,-1,undirected,-
ASV_476,ASV_25,1,undirected,+
ASV_1297,ASV_25,1,undirected,+
ASV_1183,ASV_25,1,undirected,+
ASV_309,ASV_75,-1,undirected,-
ASV_267,ASV_75,-1,undirected,-
ASV_145,ASV_75,1,undirected,+
ASV_277,ASV_75,1,undirected,+
ASV_1102,ASV_75,-1,undirected,-
ASV_1089,ASV_75,1,undirected,+
ASV_74,ASV_75,1,undirected,+
ASV_641,ASV_75,1,undirected,+
