"","KO","Means","SD"
"num.edges",2677,2677,0
"num.pos.edges",1432,0,0
"num.neg.edges",1245,0,0
"num.vertices",908,908,0
"connectance",0.00650107582240916,0.00650107582240916,0
"average.degree",5.89647577092511,5.89647577092511,0
"average.path.length",1,4.03469113707282,0.00779189635930933
"diameter",1,7.74,0.543464382782842
"edge.connectivity",0,0.11,0.31446603773522
"clustering.coefficient",1,0.00651103786032908,0.00108922866478599
"no.clusters",215,3.23,1.48293321127113
"centralization.degree",0.0199597841555401,0.00998183487218841,0.00127671035410013
"centralization.betweenness",0,0.014426761362204,0.00279271831885064
"centralization.closeness",0,NA,NA
