"","X2","Y2","OTU_2","OTU_1","weight","X1","Y1","cor"
"1",-9.041426549333,-8.77777937100189,"Microascus","Actinomadura",0.752321981424149,1.09264433179908,-5.33738302027063,"+"
"2",-9.041426549333,-8.77777937100189,"Microascus","Bacillus",-0.708978328173375,-5.40584977441401,-6.02946609666825,"-"
"3",-9.041426549333,-8.77777937100189,"Microascus","Dokdonella",0.752321981424149,-2.70464001820234,-0.220687055860761,"+"
"4",-9.041426549333,-8.77777937100189,"Microascus","Flavisolibacter",0.737874097007224,-9.61844990626057,-5.25649554606274,"+"
"5",-9.041426549333,-8.77777937100189,"Microascus","Gaiella",-0.725490196078431,-9.67096342773219,-12.1970010578318,"-"
"6",-9.041426549333,-8.77777937100189,"Microascus","Geobacter",0.717234262125903,-13.0110648688721,-12.7473451768743,"+"
"7",-9.041426549333,-8.77777937100189,"Microascus","Gp13",-0.727554179566563,8.22457951397878,4.43481192898616,"-"
"8",-9.041426549333,-8.77777937100189,"Microascus","Pedobacter",0.717736867511896,2.33732434538496,-1.60591664866375,"+"
"9",-9.041426549333,-8.77777937100189,"Microascus","Pseudogulbenkiania",-0.69453044375645,8.12035497421302,-4.55876747314675,"-"
"10",-9.041426549333,-8.77777937100189,"Microascus","Rhodanobacter",0.900928792569659,-12.1627963951778,-7.48135034528255,"+"
"11",-9.041426549333,-8.77777937100189,"Microascus","Rudaea",0.760577915376677,-7.25011024588749,-6.67632161305756,"+"
"12",-9.041426549333,-8.77777937100189,"Microascus","Sulfuricella",0.756449948400413,10.3624200751056,3.15731623477867,"+"
"13",-9.041426549333,-8.77777937100189,"Microascus","Thiobacillus",0.775025799793602,-0.217617733619393,-1.9787969141911,"+"
"14",-11.6109377784943,-10.1490150981223,"Mortierella","Flavisolibacter",0.698658410732714,-9.61844990626057,-5.25649554606274,"+"
"15",-11.6109377784943,-10.1490150981223,"Mortierella","Flavitalea",0.826625386996904,-14.2080789130637,-9.7955442648955,"+"
"16",-11.6109377784943,-10.1490150981223,"Mortierella","Gaiella",-0.762641898864809,-9.67096342773219,-12.1970010578318,"-"
"17",-11.6109377784943,-10.1490150981223,"Mortierella","Gp6",0.758513931888545,-12.7966581239706,-4.45862088595033,"+"
"18",-11.6109377784943,-10.1490150981223,"Mortierella","Rudaea",0.737874097007224,-7.25011024588749,-6.67632161305756,"+"
"19",-11.6109377784943,-10.1490150981223,"Mortierella","Sphingobium",-0.696594427244582,-3.36377733337328,-2.89492530107015,"-"
"20",-9.67096342773219,-12.1970010578318,"Gaiella","Aureobasidium",0.711042311661507,-7.27327601625119,-5.13510111187371,"+"
"21",-9.67096342773219,-12.1970010578318,"Gaiella","Cladosporium",0.719298245614035,1.78283346725374,0.616546357583409,"+"
"22",-9.67096342773219,-12.1970010578318,"Gaiella","Microascus",-0.725490196078431,-9.041426549333,-8.77777937100189,"-"
"23",-9.67096342773219,-12.1970010578318,"Gaiella","Mortierella",-0.762641898864809,-11.6109377784943,-10.1490150981223,"-"
"24",-9.67096342773219,-12.1970010578318,"Gaiella","Scenedesmus",-0.698658410732714,-6.63106084943075,-11.7367602194106,"-"
"25",-12.1627963951778,-7.48135034528255,"Rhodanobacter","Chaetosphaeria",0.775025799793602,-5.47319911463859,-8.7899738169591,"+"
"26",-12.1627963951778,-7.48135034528255,"Rhodanobacter","Cladosporium",-0.711042311661507,1.78283346725374,0.616546357583409,"-"
"27",-12.1627963951778,-7.48135034528255,"Rhodanobacter","Hydrogonium",0.692466460268318,-10.1139624321845,1.64193139622652,"+"
"28",-12.1627963951778,-7.48135034528255,"Rhodanobacter","Microascus",0.900928792569659,-9.041426549333,-8.77777937100189,"+"
"29",-12.1627963951778,-7.48135034528255,"Rhodanobacter","Scopulariopsis",0.865841073271414,0.561415124106777,3.21884025767794,"+"
"30",-9.61844990626057,-5.25649554606274,"Flavisolibacter","Chaetosphaeria",0.696594427244582,-5.47319911463859,-8.7899738169591,"+"
"31",-9.61844990626057,-5.25649554606274,"Flavisolibacter","Microascus",0.737874097007224,-9.041426549333,-8.77777937100189,"+"
"32",-9.61844990626057,-5.25649554606274,"Flavisolibacter","Mortierella",0.698658410732714,-11.6109377784943,-10.1490150981223,"+"
"33",-7.25011024588749,-6.67632161305756,"Rudaea","Hydrogonium",0.708978328173375,-10.1139624321845,1.64193139622652,"+"
"34",-7.25011024588749,-6.67632161305756,"Rudaea","Microascus",0.760577915376677,-9.041426549333,-8.77777937100189,"+"
"35",-7.25011024588749,-6.67632161305756,"Rudaea","Mortierella",0.737874097007224,-11.6109377784943,-10.1490150981223,"+"
"36",-5.47319911463859,-8.7899738169591,"Chaetosphaeria","Flavisolibacter",0.696594427244582,-9.61844990626057,-5.25649554606274,"+"
"37",-5.47319911463859,-8.7899738169591,"Chaetosphaeria","Rhodanobacter",0.775025799793602,-12.1627963951778,-7.48135034528255,"+"
"38",-6.63106084943075,-11.7367602194106,"Scenedesmus","Gaiella",-0.698658410732714,-9.67096342773219,-12.1970010578318,"-"
"39",-7.27327601625119,-5.13510111187371,"Aureobasidium","Gaiella",0.711042311661507,-9.67096342773219,-12.1970010578318,"+"
"40",-5.40584977441401,-6.02946609666825,"Bacillus","Microascus",-0.708978328173375,-9.041426549333,-8.77777937100189,"-"
"41",-14.2080789130637,-9.7955442648955,"Flavitalea","Mortierella",0.826625386996904,-11.6109377784943,-10.1490150981223,"+"
"42",-13.0110648688721,-12.7473451768743,"Geobacter","Microascus",0.717234262125903,-9.041426549333,-8.77777937100189,"+"
