"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","Label"
"Cystobacter","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter","bac","Cystobacter"
"Desertibacter","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Desertibacter","bac","Desertibacter"
"Devosia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","bac","Devosia"
"Dokdonella","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","bac","Dokdonella"
"Dongia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","bac","Dongia"
"Duganella","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","bac","Duganella"
"Ensifer","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","bac","Ensifer"
"Exophiala","fun","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","fun","Exophiala"
"Fibulochlamys","fun","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Fibulochlamys","fun","Fibulochlamys"
"Flavisolibacter","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter","bac","Flavisolibacter"
"Flavitalea","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","bac","Flavitalea"
"Fusarium","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","fun","Fusarium"
"Fuscheria","fun","Alveolata","Ciliophora","Litostomatea","Haptorida","Acropisthiidae","Fuscheria","fun","Fuscheria"
"Fusicolla","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","fun","Fusicolla"
"Gaiella","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","bac","Gaiella"
"Gamsia","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Gamsia","fun","Gamsia"
"Geminibasidium","fun","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","fun","Geminibasidium"
"Gemmata","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gemmata","bac","Gemmata"
"Gemmatimonas","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","bac","Gemmatimonas"
"Geobacter","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","bac","Geobacter"
"Gibberella","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","fun","Gibberella"
"Gliocladiopsis","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gliocladiopsis","fun","Gliocladiopsis"
"Gongronella","fun","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Gongronella","fun","Gongronella"
"Gonostomum","fun","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida","Trachelostylidae","Gonostomum","fun","Gonostomum"
"Gp1","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","bac","Gp1"
"Gp10","bac","Bacteria","Acidobacteria","Acidobacteria_Gp10","Unassigned","Unassigned","Gp10","bac","Gp10"
"Gp13","bac","Bacteria","Acidobacteria","Acidobacteria_Gp13","Unassigned","Unassigned","Gp13","bac","Gp13"
