"","one"
"num.edges",118
"num.pos.edges",0
"num.neg.edges",0
"num.vertices",90
"connectance",0.0294631710362047
"average.degree",2.62222222222222
"average.path.length",3.72475795297372
"diameter",9
"edge.connectivity",0
"clustering.coefficient",0
"no.clusters",10
"centralization.degree",0.116604244694132
"centralization.betweenness",0.137891663909864
"centralization.closeness",1.17335674564067
