"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Sagenomella",9.61645659824875,6.25400959014122,"Sagenomella","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","fun",4,0.275423728813559,74.2271524927749,4
"Saitozyma",20.7916875378964,4.4882531314194,"Saitozyma","fun","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","fun",0,0,0,0
"Scenedesmus",-6.63106084943075,-11.7367602194106,"Scenedesmus","fun","Viridiplantae","Chlorophyta","Unassigned","Unassigned","Unassigned","Scenedesmus","fun",1,0.237226277372263,0,1
"Scopulariopsis",0.561415124106777,3.21884025767794,"Scopulariopsis","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scopulariopsis","fun",12,0.386904761904762,482.103526228291,12
"Scytalidium",7.726917955377,2.73091171888121,"Scytalidium","fun","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","fun",3,0.246212121212121,83.1281965836733,3
"Sediminibacterium",-11.2648419728965,3.87293163792011,"Sediminibacterium","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Sediminibacterium","bac",1,0.233812949640288,0,1
"Skermanella",-1.37199511012117,-4.79724382527376,"Skermanella","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","bac",4,0.321782178217822,116.371828843797,4
"Solitalea",16.3582391054847,-3.12621523566073,"Solitalea","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Solitalea","bac",1,1,0,1
"Spartobacteria_genera_incertae_sedis",-9.44350418065913,-0.185101292705399,"Spartobacteria_genera_incertae_sedis","bac","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","bac",2,0.235507246376812,14.1359270040304,2
"Sphingobium",-3.36377733337328,-2.89492530107015,"Sphingobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","bac",4,0.338541666666667,158.17680545132,4
"Sphingomonas",11.4112608987299,-3.78830259448146,"Sphingomonas","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","bac",1,0.246212121212121,0,1
"Staphylotrichum",-2.38223168470322,7.26026894548064,"Staphylotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Staphylotrichum","fun",1,0.666666666666667,0,1
"Steroidobacter",6.61000492031822,18.4629513238678,"Steroidobacter","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","bac",0,0,0,0
"Streptomyces",10.4288369485791,-18.5064403613592,"Streptomyces","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","bac",0,0,0,0
"Streptophyta",9.78440633786421,12.1355598555872,"Streptophyta","bac","Bacteria","Cyanobacteria","Chloroplast","Unassigned","Chloroplast","Streptophyta","bac",1,1,0,1
"Subdivision3_genera_incertae_sedis",19.1600673991514,7.68965648862988,"Subdivision3_genera_incertae_sedis","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","bac",0,0,0,0
"Sulfuricella",10.3624200751056,3.15731623477867,"Sulfuricella","bac","Bacteria","Proteobacteria","Betaproteobacteria","Sulfuricellales","Sulfuricellaceae","Sulfuricella","bac",3,0.292792792792793,87.195204432354,3
"Talaromyces",-20.9202603446939,4.67201130410225,"Talaromyces","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","fun",0,0,0,0
"Telmatobacter",18.5819741336852,10.8025333051762,"Telmatobacter","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Telmatobacter","bac",0,0,0,0
"Terrimonas",-20.6128374726774,-4.44955270114859,"Terrimonas","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","bac",0,0,0,0
"Tetracystis",12.20250067872,-15.2272069700495,"Tetracystis","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlorococcaceae","Tetracystis","fun",1,1,0,1
"Tetrahymena",-20.9541674600943,0.554825140405023,"Tetrahymena","fun","Alveolata","Ciliophora","Oligohymenophorea","Hymenostomatida","Tetrahymenidae","Tetrahymena","fun",0,0,0,0
"Thaumatomonas",-12.9244970723427,-15.9601845837445,"Thaumatomonas","fun","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Thaumatomonadida","Thaumatomastigidae","Thaumatomonas","fun",0,0,0,0
"Thermogutta",21.2689104693132,-2.66803859862812,"Thermogutta","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Thermogutta","bac",0,0,0,0
"Thiobacillus",-0.217617733619393,-1.9787969141911,"Thiobacillus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus","bac",2,0.295454545454545,5.70517917284104,2
"Trebouxia",-6.56151798207985,-19.8644712631964,"Trebouxia","fun","Viridiplantae","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia","fun",0,0,0,0
"Trichocladium",0.528456211265971,20.1100489055117,"Trichocladium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","fun",0,0,0,0
"Trichoderma",2.86691619146963,8.79273443990169,"Trichoderma","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","fun",3,0.8,5,3
"Tylenchorhynchus",1.70394932592642,-15.4623337004992,"Tylenchorhynchus","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Telotylenchidae","Tylenchorhynchus","fun",5,0.26,202.139983176812,5
"Unassigned",10.6411547160168,-12.1208277504921,"Unassigned","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",1,1,0,1
"Variovorax",-12.5756674797586,1.15010413547906,"Variovorax","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","bac",2,0.235507246376812,64,2
"Vorticella",21.5537321710584,-0.0135011940156402,"Vorticella","fun","Alveolata","Ciliophora","Oligohymenophorea","Oligohymenophorea_ord_Incertae_sedis","Vorticellidae","Vorticella","fun",0,0,0,0
"WPS-1_genera_incertae_sedis",-2.96879322304153,-14.4539914309417,"WPS-1_genera_incertae_sedis","bac","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","bac",1,0.207006369426752,0,1
"Zopfiella",1.70121876316335,-20.4640019912115,"Zopfiella","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","fun",0,0,0,0
