"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Fusicolla",-6.74791796929861,-17.1467078056607,"Fusicolla","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","fun",0,0,0,0
"Gaiella",-9.67096342773219,-12.1970010578318,"Gaiella","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","bac",5,0.30952380952381,161.226324281602,5
"Gamsia",17.9551027503496,0.255255834790102,"Gamsia","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Gamsia","fun",0,0,0,0
"Geminibasidium",-8.84442803044958,-15.9916221013282,"Geminibasidium","fun","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","fun",0,0,0,0
"Gemmata",-15.8545741906504,8.18758886645222,"Gemmata","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gemmata","bac",0,0,0,0
"Gemmatimonas",-3.8303110619082,-18.8529457337425,"Gemmatimonas","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","bac",0,0,0,0
"Geobacter",-13.0110648688721,-12.7473451768743,"Geobacter","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","bac",1,0.277777777777778,0,1
"Gibberella",14.5990192552726,-1.11802248977127,"Gibberella","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","fun",1,1,0,1
"Gliocladiopsis",17.784691401728,4.97219977624565,"Gliocladiopsis","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gliocladiopsis","fun",0,0,0,0
"Gongronella",-4.0110924121924,11.6749016104978,"Gongronella","fun","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Gongronella","fun",1,1,0,1
"Gonostomum",-18.7938614810336,2.45136788663547,"Gonostomum","fun","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida","Trachelostylidae","Gonostomum","fun",0,0,0,0
"Gp1",2.29596885884002,10.029368959455,"Gp1","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","bac",1,0.5,0,1
"Gp10",-5.29199168768021,-0.762840472717919,"Gp10","bac","Bacteria","Acidobacteria","Acidobacteria_Gp10","Unassigned","Unassigned","Gp10","bac",2,0.285087719298246,1.51563393606737,2
"Gp13",8.22457951397878,4.43481192898616,"Gp13","bac","Bacteria","Acidobacteria","Acidobacteria_Gp13","Unassigned","Unassigned","Gp13","bac",4,0.345744680851064,164.650691296252,4
"Gp15",15.4390085305087,10.420484727351,"Gp15","bac","Bacteria","Acidobacteria","Acidobacteria_Gp15","Unassigned","Unassigned","Gp15","bac",0,0,0,0
"Gp16",17.6233086581985,-5.9650212398696,"Gp16","bac","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","bac",0,0,0,0
"Gp17",2.16605681931281,-3.37272461429521,"Gp17","bac","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","bac",4,0.30952380952381,142.809002751676,4
"Gp2",-11.1689374645837,-0.781980133196805,"Gp2","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","bac",3,0.275423728813559,92.921665480884,3
"Gp3",9.96113122904043,15.1853303491844,"Gp3","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","bac",0,0,0,0
"Gp4",-13.1435109938367,11.7256023099713,"Gp4","bac","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","bac",0,0,0,0
"Gp5",1.50252496447415,-9.60836488416977,"Gp5","bac","Bacteria","Acidobacteria","Acidobacteria_Gp5","Unassigned","Unassigned","Gp5","bac",2,0.266393442622951,62.2079921447064,2
"Gp6",-12.7966581239706,-4.45862088595033,"Gp6","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","bac",1,0.235507246376812,0,1
"Gp7",3.36411410775987,16.8505348357418,"Gp7","bac","Bacteria","Acidobacteria","Acidobacteria_Gp7","Unassigned","Unassigned","Gp7","bac",0,0,0,0
"Haliangium",1.11444140293814,-17.4356096638962,"Haliangium","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","bac",1,0.251937984496124,0,1
"Herbaspirillum",12.729093475131,5.5776495391155,"Herbaspirillum","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","bac",2,0.280172413793103,14.2867559382719,2
"Herminiimonas",-15.8488468188599,-0.565895731193227,"Herminiimonas","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas","bac",1,1,0,1
"Hormotilopsis",-12.2994381406549,13.7354121411062,"Hormotilopsis","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Chaetopeltidales","Chaetopeltidaceae","Hormotilopsis","fun",0,0,0,0
"Humicola",1.55152576384078,-12.8848279726282,"Humicola","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","fun",3,0.209677419354839,77.3750054293533,3
"Hydrogonium",-10.1139624321845,1.64193139622652,"Hydrogonium","fun","Viridiplantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Hydrogonium","fun",8,0.303738317757009,408.03140536142,8
"Hyphomicrobium",4.86972485022935,0.715418321526094,"Hyphomicrobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","bac",3,0.303738317757009,176.822624968173,3
"Latescibacteria_genera_incertae_sedis",9.54860357215364,-2.69471727921032,"Latescibacteria_genera_incertae_sedis","bac","Bacteria","Latescibacteria","Unassigned","Unassigned","Unassigned","Latescibacteria_genera_incertae_sedis","bac",1,0.246212121212121,0,1
"Litchi",-18.3538939277476,6.8794803753329,"Litchi","fun","Viridiplantae","Anthophyta","Eudicotyledonae","Sapindales","Sapindaceae","Litchi","fun",0,0,0,0
"Mesorhizobium",16.2770676254271,-11.9161827659458,"Mesorhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","bac",0,0,0,0
"Methyloversatilis",7.16324429337155,16.6178448852396,"Methyloversatilis","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis","bac",0,0,0,0
"Microascus",-9.041426549333,-8.77777937100189,"Microascus","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","fun",13,0.382352941176471,599.650603028018,13
"Micronematobotrys",19.6079488824645,-8.43188100053582,"Micronematobotrys","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Micronematobotrys","fun",0,0,0,0
"Mortierella",-11.6109377784943,-10.1490150981223,"Mortierella","fun","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","fun",6,0.306603773584906,167.749040613296,6
"Neospongiococcum",-13.2415586987235,3.14762096255809,"Neospongiococcum","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlorococcaceae","Neospongiococcum","fun",1,0.191176470588235,0,1
"Neurospora",1.05120198247323,17.8718091488558,"Neurospora","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Neurospora","fun",0,0,0,0
"Niastella",3.16177447699157,19.0009952124624,"Niastella","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","bac",0,0,0,0
"Nitrosopumilus",2.99019388274574,-11.0288077069306,"Nitrosopumilus","bac","Archaea","Thaumarchaeota","Unassigned","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","bac",2,0.21523178807947,28.2758658008658,2
"Nitrososphaera",-3.82101084802102,19.076926181864,"Nitrososphaera","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","bac",0,0,0,0
"Nitrosospira",-16.0942462680138,11.0902139598569,"Nitrosospira","bac","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","bac",0,0,0,0
"Nitrospira",-11.857805097144,15.8700678027258,"Nitrospira","bac","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","bac",0,0,0,0
"Novosphingobium",-10.7185951521656,-16.4365818451733,"Novosphingobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","bac",0,0,0,0
