"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
3,0.209677419354839,77.3750054293533,3
9,0.342105263157895,229.716367197589,9
8,0.325,131.807971928189,8
13,0.382352941176471,599.650603028018,13
12,0.386904761904762,482.103526228291,12
1,0.666666666666667,0,1
1,0.666666666666667,0,1
3,0.275423728813559,92.921665480884,3
2,0.235507246376812,14.1359270040304,2
1,0.251937984496124,0,1
1,0.251937984496124,0,1
4,0.357142857142857,169.037895518131,4
1,0.251937984496124,0,1
2,0.266393442622951,62.2079921447064,2
1,0.251937984496124,0,1
3,0.306603773584906,34.9132080243831,3
4,0.335051546391753,177.255360919897,4
3,0.318627450980392,59.111879902452,3
4,0.338541666666667,158.17680545132,4
4,0.275423728813559,74.2271524927749,4
3,0.246212121212121,83.1281965836733,3
5,0.30952380952381,161.226324281602,5
1,0.444444444444444,0,1
3,0.8,5,3
2,1,1,2
7,0.3125,298.920649249135,7
3,0.290178571428571,31.3313555725321,3
5,0.361111111111111,336.765416788165,5
2,1,1,2
1,0.666666666666667,0,1
1,1,0,1
2,0.290178571428571,5.49376762279912,2
4,0.30952380952381,142.809002751676,4
2,0.280172413793103,14.2867559382719,2
5,0.345744680851064,129.686054841436,5
2,0.295454545454545,5.70517917284104,2
1,0.238970588235294,0,1
4,0.345744680851064,164.650691296252,4
4,0.321782178217822,116.371828843797,4
2,0.285087719298246,1.51563393606737,2
3,0.303738317757009,176.822624968173,3
3,0.292792792792793,87.195204432354,3
1,0.666666666666667,0,1
6,0.306603773584906,167.749040613296,6
1,0.237226277372263,0,1
1,1,0,1
1,1,0,1
8,0.303738317757009,408.03140536142,8
6,0.325,229.700190882556,6
5,0.26,202.139983176812,5
1,1,0,1
2,0.21523178807947,28.2758658008658,2
1,0.233812949640288,0,1
1,0.233812949640288,0,1
3,0.3125,125.182882445301,3
1,0.233812949640288,0,1
2,0.235507246376812,64,2
1,0.246212121212121,0,1
1,0.251937984496124,0,1
1,1,0,1
1,0.207006369426752,0,1
1,0.17379679144385,0,1
4,0.328282828282828,46.7395182154409,4
2,1,1,2
2,0.218120805369128,4.18067108330266,2
10,0.335051546391753,378.694299024213,10
2,0.222602739726027,11.9570190181336,2
1,0.237226277372263,0,1
1,0.198170731707317,0,1
1,0.277777777777778,0,1
2,0.666666666666667,3,2
1,0.666666666666667,0,1
2,0.25,109.224139628487,2
1,0.238970588235294,0,1
2,0.275423728813559,4.57493772137735,2
1,0.666666666666667,0,1
1,1,0,1
1,0.227272727272727,0,1
1,0.5,0,1
1,0.235507246376812,0,1
1,0.277777777777778,0,1
1,1,0,1
1,1,0,1
1,0.5,0,1
1,0.235507246376812,0,1
1,1,0,1
1,0.246212121212121,0,1
1,0.191176470588235,0,1
1,0.207006369426752,0,1
1,1,0,1
