SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
KO1	1273	1440.40434782609	1450.80583762498	5.96558229129348	0.990506721441088	105.337686426699
KO2	1258	1453.9375	1447.21220090929	5.99993641265345	0.991877175741994	123.10988989013
KO3	1114	1387.33846153846	1399.02191677466	5.647843867247	0.988771114801205	89.0560355989162
KO4	1119	1328.525	1334.89131646304	5.68532341049444	0.989569466240489	95.8723707775926
KO5	1019	1254.67934782609	1262.43658601761	5.43646320598405	0.985758685164383	70.2182355732379
KO6	1193	1370.03083700441	1389.07993069932	5.86157683955162	0.991531613852807	118.0862542896
OE1	1340	1493.26146788991	1487.25913376368	6.25270661335899	0.994482510634073	181.241853618324
OE2	1323	1466.03968253968	1493.05473331758	6.08541942554662	0.99206437337331	126.013993228555
OE3	1269	1444.08536585366	1467.66331404213	5.87080587080185	0.990251834419829	102.583403182454
OE4	1292	1487.61181434599	1492.92612810651	5.97824925183284	0.992504265065088	133.409199856103
OE5	1311	1464.22784810127	1471.86012794761	6.07880838699801	0.993145275628207	145.884786281847
OE6	1356	1484.56097560976	1495.90133434078	6.26711220849528	0.994859472473046	194.532563974543
WT1	1266	1442.72822299652	1504.48683889085	5.77641773876763	0.989254865708929	93.0653794462997
WT2	1166	1398	1410.47076173287	5.57287644203818	0.986415647486782	73.6141085139687
WT3	1284	1422.48979591837	1446.49413026798	6.06451124020206	0.99290658402854	140.975801225167
WT4	1260	1452.23949579832	1475.41866646635	5.92180218812559	0.991183599096357	113.424969092185
WT5	1178	1376.48780487805	1416.98964090345	5.65386338082789	0.988807729124443	89.3473729432238
WT6	1286	1470.3875	1482.33933149449	5.97489267456193	0.992359773314779	130.886168853397
