ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Proteobacteria	59.3457101658255	45.2235039653929	57.7505407354001	58.3093006488825	70.9625090122567	63.3111031002163	50.4956741167989	42.6820475847152	46.4401586157174	50.77505407354	53.4156452775775	51.0454217736121	46.2869502523432	56.2635183850036	50.4325883201154	51.928622927181	52.1719538572459	52.0277577505407
Actinobacteria	25.6849315068493	39.2664023071377	27.1809661139149	27.4333093006489	16.8439077144917	23.1164383561644	27.9920692141312	34.1113914924297	32.7775775054074	27.5414563806777	30.0648882480173	27.829848594088	35.1387887527037	28.6679884643115	31.056236481615	33.3363374188897	34.0753424657534	30.7408074981975
Unassigned	9.88644556596972	10.4812545061283	5.99315068493151	7.69646719538572	6.25450612833453	9.39077144917087	11.2472963229993	11.2022350396539	8.69682768565249	10.2108868060562	10.1027397260274	11.1661860129776	11.851117519827	7.76856524873828	11.1301369863014	8.62472963229993	8.03893294881038	9.71521268925739
Bacteroidetes	3.03713049747657	2.42429704397981	7.31795241528479	2.87490987743331	4.81254506128334	2.09084354722422	3.73107426099495	8.02090843547224	8.42645998558039	7.51622206200433	3.41564527757751	3.32552271088681	5.12797404470079	5.8759913482336	4.73143475126172	3.96539293439077	4.69538572458544	5.55155010814708
Firmicutes	1.41492429704398	1.88356164383562	1.27072819033886	3.2984859408796	0.549747656813266	1.53208363374189	4.83958183129055	2.58651766402307	2.37923576063446	3.16330209084355	1.62220620043259	4.83958183129055	0.693943763518385	0.549747656813266	1.03640951694304	0.973323720259553	0.477649603460707	1.05443403028118
Acidobacteria	0.252343186733958	0.252343186733958	0.126171593366979	0.0811103100216294	0.144196106705119	0.207281903388608	0.720980533525595	0.324441240086518	0.414563806777217	0.207281903388608	0.522710886806056	0.684931506849315	0.225306416726748	0.252343186733958	0.829127613554434	0.234318673395818	0.0991348233597693	0.243330930064888
Verrucomicrobia	0.117159336697909	0.0811103100216294	0.0991348233597693	0.0540735400144196	0.0811103100216294	0.0811103100216294	0.279379956741168	0.144196106705119	0.306416726748378	0.198269646719539	0.315428983417448	0.450612833453497	0.225306416726748	0.207281903388608	0.270367700072098	0.252343186733958	0.144196106705119	0.135183850036049
Planctomycetes	0.0270367700072098	0.144196106705119	0.0901225666906993	0.0180245133381399	0	0.0360490266762797	0.387527036770007	0.594808940158616	0.243330930064888	0.108147080028839	0.207281903388608	0.369502523431867	0.162220620043259	0.126171593366979	0.180245133381399	0.126171593366979	0.0630857966834895	0.0540735400144196
Spirochaetes	0.0540735400144196	0.0180245133381399	0.0991348233597693	0.0811103100216294	0.117159336697909	0.0811103100216294	0.0811103100216294	0.0811103100216294	0.0991348233597693	0.162220620043259	0.153208363374189	0.0720980533525595	0.0901225666906993	0.153208363374189	0.135183850036049	0.144196106705119	0.0630857966834895	0.153208363374189
Nitrospirae	0.0450612833453497	0.0540735400144196	0.0180245133381399	0.0630857966834895	0.0270367700072098	0.0360490266762797	0.0901225666906993	0.0540735400144196	0.0720980533525595	0.0630857966834895	0.0901225666906993	0.135183850036049	0.0630857966834895	0.0720980533525595	0.0811103100216294	0.315428983417448	0.108147080028839	0.153208363374189
Chloroflexi	0.135183850036049	0.162220620043259	0.0360490266762797	0.0630857966834895	0.0811103100216294	0.0811103100216294	0.0811103100216294	0.0630857966834895	0.108147080028839	0.0360490266762797	0.0540735400144196	0.0540735400144196	0.117159336697909	0.0540735400144196	0.0450612833453497	0.0630857966834895	0.0540735400144196	0.108147080028839
Candidatus_Saccharibacteria	0	0	0.0180245133381399	0.0180245133381399	0.126171593366979	0.00901225666906993	0	0.0901225666906993	0	0.0180245133381399	0.0180245133381399	0	0	0	0.0360490266762797	0.00901225666906993	0	0.0540735400144196
Armatimonadetes	0	0.00901225666906993	0	0.00901225666906993	0	0.0270367700072098	0.0540735400144196	0.0450612833453497	0.0360490266762797	0	0.0180245133381399	0.0270367700072098	0.0180245133381399	0.00901225666906993	0.0360490266762797	0.0270367700072098	0.00901225666906993	0.00901225666906993
