ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_28	-0.16	13.159	0.698094177601719	0.835674781946583	NotSig	0.553	0.617	0.672	0.671	0.141	1.075	0.297	0.462	0.89	0.701	0.514	0.638	0.51	0.448
ASV_139	-0.163	11.004	0.712657570570208	0.84692638821387	NotSig	0.109	0.128	0.131	0.136	0.238	0.045	0.051	0.056	0.102	0.108	0.149	0.175	0.102	0.128
ASV_23	0.28	13.328	0.72704688225667	0.852310192092325	NotSig	0.684	0.61	0.393	0.368	2.953	0.182	0.058	0.151	0.426	0.085	0.821	0.686	0.588	1.056
ASV_150	-0.166	10.786	0.731977986575802	0.852310192092325	NotSig	0.094	0.108	0.14	0.12	0.059	0.091	0.036	0.119	0.024	0.108	0.149	0.056	0.086	0.224
ASV_4	-0.136	15.17	0.732778884664743	0.852310192092325	NotSig	2.25	2.503	4.271	1.127	1.339	1.923	3.463	1.377	2.837	3.636	1.626	1.531	3.066	2.32
ASV_204	0.234	10.142	0.757040270576029	0.87014440638197	NotSig	0.062	0.055	0.009	0.056	0	0.098	0.159	0.048	0.008	0.015	0.075	0.048	0.102	0.08
ASV_120	-0.116	10.817	0.758723476296474	0.87014440638197	NotSig	0.098	0.107	0.131	0.12	0.119	0.068	0.029	0.119	0.095	0.116	0.124	0.064	0.133	0.112
ASV_162	-0.161	10.565	0.772197390657454	0.877110055140374	NotSig	0.079	0.089	0.122	0.16	0.074	0.03	0.014	0.072	0.15	0.023	0.116	0.048	0.071	0.128
ASV_135	0.115	11.137	0.775493646313135	0.877110055140374	NotSig	0.136	0.127	0.175	0.144	0.193	0.076	0.043	0.183	0.165	0.092	0.091	0.104	0.173	0.136
ASV_50	0.092	12.427	0.783114401001418	0.879662751809812	NotSig	0.353	0.341	0.332	0.559	0.409	0.363	0.167	0.287	0.268	0.2	0.398	0.439	0.251	0.488
ASV_7	-0.145	14.632	0.792782085221287	0.884464367185654	NotSig	1.5	1.73	0.707	0.344	3.086	1.083	3.159	0.621	2.033	2.388	1.552	0.646	1.56	2.2
ASV_80	-0.165	11.791	0.809773679117434	0.887018705685259	NotSig	0.202	0.237	0.271	0.192	0.201	0.227	0.138	0.183	0.024	0	0.382	0.311	0.321	0.384
