OTUID	All	KO	OE	WT
ASV_148	0.107666	0.10832432	0.06759177	0.14708229
ASV_168	0.103181	0.269064783	0.036559607	0.003920003
ASV_144	0.11022	0.06116569	0.12888774	0.14060732
ASV_149	0.107591	0.10198578	0.08028498	0.14050281
ASV_154	0.107494	0.01873024	0.07894586	0.22480677
ASV_147	0.104449	0.18578079	0.04723611	0.08033144
ASV_204	0.109402	0.06170385	0.21187443	0.05462672
ASV_136	0.104486	0.1008937	0.0900894	0.1224764
ASV_150	0.106531	0.09425901	0.11751130	0.10782292
ASV_153	0.104698	0.1045335	0.1010804	0.1084810
ASV_155	0.10469	0.10119598	0.11491285	0.09796018
ASV_164	0.10033	0.16696834	0.07161006	0.06241025
ASV_172	0.10384	0.11751428	0.11826003	0.07574673
ASV_157	0.102163	0.12859366	0.08036680	0.09752744
ASV_160	0.103636	0.07791747	0.13087859	0.10211100
ASV_162	0.105123	0.07881222	0.14731830	0.08923880
ASV_142	0.10362	0.09406155	0.11654795	0.10024901
ASV_151	0.104213	0.03649775	0.15375687	0.12238334
ASV_166	0.103652	0.11245829	0.11190393	0.08659386
ASV_188	0.099861	0.14013770	0.06444673	0.09499979
ASV_165	0.101186	0.08257465	0.12250493	0.09847930
ASV_170	0.097906	0.13506685	0.08457617	0.07407503
ASV_146	0.097955	0.06039493	0.07436676	0.15910301
ASV_183	0.097529	0.12370580	0.08459593	0.08428500
ASV_159	0.098385	0.10129098	0.09393905	0.09992371
ASV_167	0.098121	0.07218099	0.10605780	0.11612433
ASV_186	0.097811	0.09048037	0.10203248	0.10092009
ASV_192	0.094542	0.11549369	0.05319755	0.11493548
ASV_177	0.096669	0.10043361	0.10289934	0.08667376
ASV_158	0.09607	0.06517981	0.10265374	0.12037749
ASV_169	0.096122	0.10086983	0.08437652	0.10311913
ASV_174	0.095742	0.06386075	0.11849039	0.10487636
ASV_180	0.091141	0.19065152	0.03253381	0.05023657
ASV_185	0.093214	0.05374163	0.09510857	0.13079040
ASV_171	0.092434	0.10293842	0.10331869	0.07104553
ASV_196	0.093121	0.07277328	0.10999506	0.09659466
ASV_213	0.091003	0.12457936	0.07807426	0.07035448
ASV_182	0.088656	0.14723162	0.05775558	0.06098062
ASV_187	0.09082	0.07040524	0.11364276	0.08841076
ASV_163	0.092512	0.01597787	0.19777460	0.06378475
ASV_178	0.08852	0.09881363	0.08623493	0.08051046
ASV_176	0.087477	0.12219570	0.07127797	0.06895781
ASV_225	0.089798	0.06661046	0.09495037	0.10783435
ASV_179	0.08396	0.18253919	0.03764048	0.03170175
ASV_200	0.088196	0.07999743	0.10703861	0.07755217
ASV_202	0.086499	0.08282804	0.08028324	0.09638518
ASV_181	0.085589	0.09991541	0.07465892	0.08219118
ASV_173	0.084294	0.09347744	0.08154175	0.07786296
ASV_322	0.085134	0.07217875	0.09715500	0.08606924
ASV_238	0.084246	0.08618334	0.08182630	0.08472755
ASV_190	0.083018	0.13878251	0.05344236	0.05682870
ASV_216	0.081616	0.07934477	0.05983888	0.10566409
ASV_205	0.082643	0.08967556	0.07450971	0.08374421
ASV_175	0.083111	0.08197833	0.10830424	0.05905159
ASV_193	0.082689	0.04001233	0.09904654	0.10900822
ASV_513	0.08088	0.07776298	0.08407660	0.08079935
ASV_197	0.078161	0.13170247	0.05600793	0.04677403
ASV_251	0.079539	0.06453016	0.07881197	0.09527395
ASV_194	0.077597	0.12667202	0.06050947	0.04561036
ASV_236	0.078721	0.07523838	0.09046492	0.07046096
ASV_1220	0.078218	0.08784003	0.06076208	0.08605214
ASV_211	0.076251	0.12737483	0.04039740	0.06097943
ASV_222	0.079201	0.06449321	0.11863230	0.05447863
ASV_246	0.079375	0.07079114	0.11848314	0.04885062
ASV_184	0.079762	0.06754348	0.14276007	0.02898376
ASV_189	0.07575	0.13188456	0.03442125	0.06094411
ASV_206	0.077287	0.08040883	0.07798104	0.07347108
ASV_201	0.075965	0.09382538	0.07055572	0.06351530
ASV_215	0.075527	0.04750844	0.03424015	0.14483309
ASV_208	0.075821	0.09396884	0.06893200	0.06456353
ASV_210	0.077415	0.07823126	0.09813705	0.05587584
ASV_235	0.075417	0.09380229	0.06734593	0.06510336
ASV_191	0.076589	0.02581056	0.10240284	0.10155274
ASV_234	0.074305	0.08512765	0.06445132	0.07333679
ASV_320	0.074196	0.13580562	0.05364018	0.03314107
ASV_220	0.075449	0.07038015	0.07331783	0.08264850
ASV_207	0.074752	0.09943399	0.07308101	0.05174059
ASV_212	0.075971	0.07580191	0.09621713	0.05589334
ASV_209	0.073888	0.09334705	0.06187560	0.06644173
ASV_249	0.075255	0.02744718	0.14785288	0.05046476
ASV_203	0.072967	0.06633477	0.07981969	0.07274517
ASV_230	0.072819	0.04393435	0.07796242	0.09656134
ASV_253	0.072563	0.06714644	0.08519986	0.06534342
ASV_214	0.07158	0.04010249	0.06370463	0.11093244
ASV_226	0.070543	0.06818079	0.05559158	0.08785803
ASV_231	0.071868	0.04988165	0.08338896	0.08233381
ASV_268	0.071105	0.07127215	0.07198442	0.07005795
ASV_359	0.071725	0.08697907	0.07779333	0.05040150
ASV_261	0.072261	0.04475809	0.11061202	0.06141205
ASV_218	0.069564	0.07260988	0.07827328	0.05780920
ASV_224	0.070421	0.07032371	0.05891158	0.08202757
ASV_313	0.071513	0.05787847	0.09697543	0.05968533
ASV_198	0.069456	0.06539404	0.05899589	0.08397683
ASV_247	0.07059	0.09002316	0.07542649	0.04631976
ASV_217	0.069579	0.02613589	0.08345926	0.09914078
ASV_240	0.068509	0.07375204	0.06457291	0.06720278
ASV_250	0.069875	0.05331500	0.09239177	0.06391848
ASV_199	0.067314	0.07089126	0.04689970	0.08415054
ASV_219	0.067928	0.08400018	0.06176624	0.05801750
ASV_272	0.06862	0.05238699	0.06298246	0.09049149
ASV_229	0.067816	0.07287345	0.06179006	0.06878347
ASV_287	0.06861	0.04886084	0.06772515	0.08924520
ASV_221	0.067088	0.10863617	0.02324956	0.06937834
ASV_223	0.067696	0.05003654	0.07883871	0.07421173
ASV_239	0.065612	0.10174718	0.04763555	0.04745466
ASV_252	0.070643	0.04086759	0.15222949	0.01883332
ASV_232	0.067629	0.01375852	0.10345449	0.08567498
ASV_241	0.066972	0.06770114	0.07444394	0.05877138
ASV_280	0.066692	0.05290497	0.08057976	0.06659067
ASV_263	0.066699	0.04622766	0.07815570	0.07571372
ASV_237	0.064335	0.11149132	0.03001202	0.05150029
ASV_271	0.067088	0.03894161	0.10385830	0.05846321
ASV_248	0.065251	0.05187243	0.07925472	0.06462505
ASV_242	0.06455	0.04592331	0.05469306	0.09303457
ASV_245	0.064134	0.03515288	0.06352755	0.09372143
ASV_285	0.064317	0.09027186	0.06315132	0.03952764
ASV_255	0.063058	0.07364799	0.04937154	0.06615374
ASV_260	0.064142	0.08398879	0.07381998	0.03461692
ASV_227	0.063194	0.08286374	0.05219176	0.05452768
ASV_265	0.062915	0.07168440	0.05739542	0.05966602
ASV_270	0.064771	0.05451074	0.08548202	0.05432024
ASV_243	0.063424	0.04864935	0.07256688	0.06905558
ASV_256	0.063551	0.06239173	0.06613166	0.06212886
ASV_609	0.064754	0.04998490	0.09791291	0.04636374
ASV_258	0.061734	0.08163146	0.04450542	0.05906382
ASV_257	0.062269	0.07085963	0.05475247	0.06119459
ASV_310	0.061377	0.08642367	0.05017917	0.04752917
ASV_277	0.061528	0.06578181	0.06328047	0.05552315
ASV_262	0.061457	0.03800886	0.09363105	0.05272985
ASV_319	0.061595	0.03533560	0.07388548	0.07556412
ASV_345	0.062268	0.05135756	0.10636473	0.02908100
ASV_278	0.059941	0.04385667	0.06168787	0.07427875
ASV_315	0.059271	0.09383108	0.04795954	0.03602302
ASV_282	0.059792	0.06013633	0.05646035	0.06277859
ASV_233	0.061128	0.06276379	0.08544817	0.03517068
ASV_286	0.059984	0.04537471	0.07462510	0.05995182
ASV_254	0.05837	0.07063722	0.05043884	0.05403288
ASV_317	0.058858	0.05698817	0.05910859	0.06047639
ASV_259	0.058207	0.04683788	0.05495024	0.07283238
ASV_274	0.057489	0.07924134	0.04156484	0.05166025
ASV_298	0.058642	0.04882918	0.07161420	0.05548173
ASV_1304	0.058741	0.05791191	0.06373436	0.05457771
ASV_244	0.05842	0.03351138	0.07173219	0.07001565
ASV_279	0.056269	0.10295117	0.02843611	0.03741917
ASV_283	0.056692	0.08958834	0.04617974	0.03430858
ASV_293	0.055709	0.06583120	0.03024968	0.07104661
ASV_375	0.057199	0.05003903	0.07243878	0.04912001
ASV_228	0.056324	0.04123833	0.07289878	0.05483559
ASV_300	0.056035	0.05579906	0.06813617	0.04416860
ASV_415	0.056176	0.04598760	0.06540768	0.05713276
ASV_264	0.054168	0.03811896	0.04169012	0.08269497
ASV_301	0.054759	0.05776975	0.06021720	0.04628887
ASV_357	0.054224	0.09228281	0.03744050	0.03294801
ASV_284	0.053653	0.06273036	0.04002157	0.05820769
ASV_290	0.054789	0.04680166	0.04812299	0.06944320
ASV_302	0.056191	0.03272900	0.08792091	0.04792273
ASV_306	0.054469	0.06233092	0.04684318	0.05423402
ASV_498	0.054861	0.05872745	0.06224136	0.04361420
ASV_523	0.054888	0.03772168	0.08289114	0.04405004
ASV_276	0.053337	0.06437996	0.04141426	0.05421617
ASV_288	0.054119	0.05698900	0.06801413	0.03735248
ASV_336	0.053001	0.06653709	0.04606578	0.04640066
ASV_419	0.054397	0.06082783	0.06525055	0.03711367
ASV_267	0.054296	0.03891176	0.06907369	0.05490362
ASV_275	0.053459	0.04795909	0.06351466	0.04890361
ASV_329	0.052807	0.05712939	0.04587022	0.05542113
ASV_346	0.053429	0.06046082	0.05343893	0.04638642
ASV_724	0.053806	0.04451253	0.07994876	0.03695752
ASV_318	0.052902	0.03273674	0.06760429	0.05836624
ASV_327	0.053056	0.02868220	0.07919305	0.05129358
ASV_350	0.051984	0.07400830	0.03305075	0.04889161
ASV_362	0.052399	0.03777809	0.05334253	0.06607647
ASV_281	0.051388	0.06396290	0.04051171	0.04968831
ASV_299	0.053105	0.03480079	0.07677206	0.04774224
ASV_269	0.05256	0.04403560	0.07261124	0.04103284
ASV_273	0.049531	0.07518680	0.02983830	0.04356646
ASV_307	0.05112	0.05513140	0.04325550	0.05497414
ASV_391	0.051827	0.04163253	0.04745487	0.06639332
ASV_501	0.05231	0.03649925	0.04084162	0.07958983
ASV_312	0.050809	0.04144952	0.05306631	0.05791142
ASV_364	0.051592	0.03808474	0.07038828	0.04630257
ASV_378	0.05164	0.03205992	0.08025766	0.04260295
ASV_384	0.051168	0.04425493	0.07333552	0.03591486
ASV_396	0.050366	0.05996253	0.04320968	0.04792469
ASV_554	0.050671	0.05083797	0.05389263	0.04728258
ASV_579	0.051214	0.04996394	0.05731830	0.04635965
ASV_292	0.050847	0.04254325	0.05936778	0.05062946
ASV_308	0.050384	0.04000458	0.05784931	0.05329700
ASV_355	0.049254	0.03846935	0.04854534	0.06074681
ASV_289	0.049106	0.04952924	0.04039624	0.05739376
ASV_303	0.048428	0.03442367	0.06421655	0.04664311
ASV_311	0.048328	0.06616235	0.04044953	0.03837279
ASV_314	0.04989	0.03846701	0.05790104	0.05330256
ASV_323	0.050281	0.02860099	0.08299702	0.03924587
ASV_305	0.048042	0.07303395	0.03774005	0.03335347
ASV_330	0.048728	0.05809303	0.03734062	0.05074982
ASV_341	0.04942	0.03054782	0.06201692	0.05569529
ASV_347	0.048502	0.07684061	0.04612396	0.02254092
ASV_360	0.048077	0.04622357	0.04251312	0.05549575
ASV_614	0.048272	0.03503831	0.03570169	0.07407705
ASV_295	0.048477	0.05127802	0.04765388	0.04649841
ASV_296	0.047825	0.05439956	0.03991493	0.04916180
ASV_325	0.047134	0.08224931	0.02601677	0.03313563
ASV_328	0.04849	0.07279611	0.04197843	0.03069523
ASV_332	0.047812	0.07015891	0.03440498	0.03887132
ASV_344	0.049292	0.04565217	0.06362541	0.03859966
ASV_369	0.047881	0.04229799	0.04724677	0.05409821
ASV_291	0.048775	0.02191883	0.07630995	0.04809536
ASV_326	0.048899	0.01816907	0.06854923	0.05997725
ASV_352	0.047841	0.04608205	0.04311053	0.05432938
ASV_377	0.048652	0.03978178	0.06116881	0.04500402
ASV_739	0.049467	0.03196326	0.08317182	0.03326624
ASV_294	0.04745	0.05610254	0.05004454	0.03620226
ASV_356	0.046364	0.05295529	0.04348146	0.04265488
ASV_444	0.048534	0.04074413	0.06621631	0.03864097
ASV_424	0.047639	0.04392810	0.05902206	0.03996807
ASV_361	0.04676	0.04770644	0.06182522	0.03074720
ASV_454	0.046518	0.04290744	0.04338382	0.05326414
ASV_304	0.047017	0.01493357	0.08251346	0.04360497
ASV_316	0.044792	0.06861947	0.02290462	0.04285100
ASV_340	0.045431	0.05789137	0.03600005	0.04240224
ASV_342	0.046977	0.02283155	0.06760511	0.05049505
ASV_334	0.044681	0.05742528	0.02571505	0.05090196
ASV_358	0.044443	0.05523045	0.03565065	0.04244723
ASV_321	0.045008	0.03184747	0.05026066	0.05291666
ASV_333	0.04494	0.02891003	0.03019181	0.07571676
ASV_398	0.045877	0.03118385	0.07046838	0.03597857
ASV_383	0.043676	0.05954368	0.03733649	0.03414647
ASV_385	0.044788	0.04316164	0.05033316	0.04086990
ASV_552	0.044883	0.03740133	0.04783740	0.04940887
ASV_297	0.04539	0.01082628	0.07462229	0.05072194
ASV_349	0.044278	0.03243826	0.05256003	0.04783565
ASV_400	0.045129	0.04985314	0.04424655	0.04128757
ASV_487	0.044011	0.05618017	0.03723224	0.03861920
ASV_370	0.043352	0.03403675	0.04089457	0.05512399
ASV_1527	0.044335	0.03454485	0.06650388	0.03195646
ASV_331	0.042734	0.05389903	0.03739005	0.03691271
ASV_339	0.042526	0.02532337	0.02658908	0.07566449
ASV_353	0.043452	0.04841402	0.04621946	0.03572170
ASV_371	0.043464	0.04601866	0.04201485	0.04235755
ASV_374	0.043154	0.05624245	0.03202214	0.04119627
ASV_480	0.043919	0.03825186	0.05626825	0.03723630
ASV_309	0.041473	0.05971168	0.02433518	0.04037310
ASV_324	0.042637	0.02822000	0.03864288	0.06104759
ASV_337	0.042714	0.04871270	0.03560718	0.04382255
ASV_460	0.04316	0.02864103	0.04615094	0.05468857
ASV_629	0.042774	0.04802927	0.04439252	0.03590070
ASV_343	0.043395	0.03212275	0.06349706	0.03456378
ASV_368	0.04285	0.03936222	0.05453557	0.03465355
ASV_387	0.041722	0.06499357	0.02857062	0.03160055
ASV_406	0.042156	0.04111285	0.04032367	0.04503005
ASV_427	0.042699	0.05639468	0.04771984	0.02398189
ASV_738	0.042325	0.04287124	0.04570923	0.03839548
ASV_1095	0.043595	0.01486327	0.07561654	0.04030548
ASV_338	0.041611	0.03905157	0.04324376	0.04253811
ASV_367	0.042099	0.04445318	0.04895597	0.03288752
ASV_422	0.042001	0.04826786	0.04302101	0.03471481
ASV_428	0.041554	0.03313981	0.03837341	0.05314984
ASV_390	0.042266	0.01993108	0.08159688	0.02527121
ASV_464	0.042006	0.02959345	0.05770580	0.03871956
ASV_1305	0.041514	0.03220263	0.05647564	0.03586227
ASV_354	0.039948	0.06970982	0.01304525	0.03708941
ASV_711	0.041067	0.03926254	0.03742551	0.04651313
ASV_348	0.040179	0.05950056	0.02146082	0.03957529
ASV_365	0.0413	0.01944610	0.06454133	0.03991351
ASV_506	0.040371	0.03911933	0.03872680	0.04326628
ASV_335	0.040251	0.02850187	0.04592271	0.04632967
ASV_382	0.041236	0.04759888	0.05082674	0.02528228
ASV_409	0.039289	0.05495825	0.02890167	0.03400727
ASV_436	0.041229	0.02411590	0.06332906	0.03624239
ASV_596	0.040909	0.02400245	0.05924729	0.03947594
ASV_379	0.04058	0.03915217	0.05464434	0.02794320
ASV_392	0.039926	0.04742436	0.04291761	0.02943597
ASV_403	0.038915	0.05738916	0.03307007	0.02628717
ASV_410	0.039144	0.04946403	0.04142413	0.02654385
ASV_482	0.039812	0.03383315	0.04032774	0.04527650
ASV_363	0.039332	0.02601344	0.03604946	0.05593305
ASV_388	0.039511	0.04043089	0.04780679	0.03029680
ASV_405	0.039317	0.04581068	0.04026018	0.03187885
ASV_425	0.039276	0.04530373	0.04303430	0.02948873
ASV_532	0.03934	0.03465045	0.04597238	0.03739615
ASV_533	0.039878	0.02230118	0.05232684	0.04500510
ASV_750	0.03961	0.03900776	0.03579602	0.04402545
ASV_1314	0.039303	0.02752367	0.03595026	0.05443649
ASV_381	0.039723	0.01073386	0.06219234	0.04624386
ASV_445	0.038755	0.03684089	0.03029523	0.04912864
ASV_491	0.03962	0.03494623	0.05315437	0.03075893
ASV_1142	0.038632	0.03407954	0.04628134	0.03553485
ASV_351	0.037863	0.05890715	0.03067267	0.02400894
ASV_395	0.037515	0.04534796	0.03929559	0.02790035
ASV_402	0.038556	0.03017134	0.04066738	0.04483020
ASV_404	0.037897	0.04625650	0.03145644	0.03597852
ASV_440	0.039631	0.06781574	0.04062488	0.01045199
ASV_462	0.039259	0.03820968	0.06361348	0.01595434
ASV_469	0.037927	0.06466658	0.01869454	0.03041840
ASV_590	0.039221	0.02193837	0.05156433	0.04416169
ASV_685	0.038723	0.04079303	0.04761202	0.02776498
ASV_689	0.038692	0.03104936	0.04363733	0.04138935
ASV_708	0.039116	0.02328840	0.05419544	0.03986423
ASV_755	0.038126	0.03980184	0.03459088	0.03998568
ASV_380	0.039096	0.01841136	0.06949820	0.02937703
ASV_389	0.038379	0.01568287	0.05297061	0.04648400
ASV_394	0.038134	0.02043995	0.03456143	0.05939947
ASV_417	0.037952	0.05144787	0.03421791	0.02819082
ASV_433	0.038095	0.03227226	0.03173235	0.05027902
ASV_434	0.038319	0.02455194	0.05062449	0.03978088
ASV_471	0.038222	0.02531667	0.03744437	0.05190372
ASV_1175	0.03814	0.02741484	0.05341461	0.03358929
ASV_366	0.037472	0.02915857	0.04322067	0.04003612
ASV_439	0.03816	0.03784007	0.04089809	0.03574035
ASV_446	0.035859	0.06249303	0.02012225	0.02496267
ASV_993	0.037178	0.06639871	0.02007632	0.02506009
ASV_386	0.037258	0.02969563	0.04596439	0.03611277
ASV_457	0.036875	0.02888348	0.02732281	0.05441907
ASV_414	0.03648	0.02936482	0.04278631	0.03728939
ASV_429	0.03499	0.069908293	0.008666149	0.026395174
ASV_530	0.036931	0.02363634	0.04865243	0.03850474
ASV_1165	0.036413	0.03384665	0.04767777	0.02771359
ASV_372	0.035905	0.04039901	0.02880969	0.03850607
ASV_399	0.036155	0.03117293	0.03181623	0.04547457
ASV_401	0.035526	0.03244507	0.02553672	0.04859593
ASV_411	0.036746	0.03342650	0.04622915	0.03058256
ASV_455	0.036304	0.03809429	0.03495624	0.03586011
ASV_541	0.036025	0.03324721	0.04190328	0.03292471
ASV_1031	0.036302	0.02635702	0.05600038	0.02654970
ASV_1140	0.036524	0.04307571	0.05079894	0.01569778
ASV_1533	0.03647	0.02392463	0.06010738	0.02537905
ASV_373	0.036475	0.008517546	0.069386947	0.031520883
ASV_431	0.034096	0.06709375	0.02209828	0.01309529
ASV_478	0.035569	0.03871952	0.03065531	0.03733356
ASV_486	0.036579	0.01981018	0.05930624	0.03062142
ASV_563	0.035363	0.04808579	0.02891554	0.02908669
ASV_774	0.035675	0.04924048	0.02866525	0.02911801
ASV_376	0.035401	0.03408230	0.03348461	0.03863525
ASV_393	0.036003	0.02357194	0.05508821	0.02934887
ASV_416	0.035281	0.03586409	0.03909318	0.03088471
ASV_473	0.034942	0.04541279	0.03168204	0.02773035
