Class	KO	KO	KO	KO	KO	KO	OE	OE	OE	OE	OE	OE	WT	WT	WT	WT	WT	WT
Bacteria	39.7991266375546	38.5039558858787	44.1841439833408	41.5745647236942	45.0481779323336	39.7294070831675	32.5809532077437	36.3772191949376	41.7091403329935	39.1909191772638	37.6982815598149	31.705118961788	43.9322301024429	49.3760591588353	37.9356123464985	39.7671079917052	46.5145455971144	40.6832546603728
Bacteria|Actinobacteria	12.0174672489083	19.0841524814193	13.5281868213595	12.8311884935655	7.53459392885605	10.9590131317151	12.466359927077	14.9235366496748	17.0319401970778	13.9967568490228	15.1685393258427	11.3824801730353	18.8810086682427	17.1930365120937	14.9103883172917	17.0282341681289	19.995295224653	15.169213537083
Bacteria|Bacteroidetes	0.794759825327511	0.695276912011508	4.7449055481184	1.9000757002271	3.58617691806129	1.27337843215281	1.02439447868739	6.17859026190895	4.13693510023785	3.05538960484766	1.59451421017845	1.13554434030281	2.8053585500394	3.19673393930057	2.17391304347826	1.08470250438666	2.95616717635066	3.79230338427074
Bacteria|Firmicutes	0.331877729257642	0.327659234396228	0.12643165253607	0.166540499621499	0.10142722596537	0.389972144846797	1.51054779060682	0.632800140622253	0.849473326537547	0.879064606981309	0.338730998017184	1.64023071377073	0.157604412923562	0.0616237867816977	0.174244938599403	0.103684798213431	0.0627303379596958	0.192015361228898
Bacteria|Proteobacteria	26.6550218340611	18.3968672580516	25.7846199613268	26.6767600302801	33.8259798594508	27.1070433744528	17.5796510113725	14.6422921427316	19.6907917091403	21.259708116412	20.5964970257766	17.5468637346792	22.0882584712372	28.9246649206594	20.6770660471291	21.5504865209762	23.500352858151	21.5297223777902
Bacteria|Actinobacteria|Actinobacteria	12.0174672489083	19.0841524814193	13.5281868213595	12.8311884935655	7.53459392885605	10.9590131317151	12.466359927077	14.9235366496748	17.0319401970778	13.9967568490228	15.1685393258427	11.3824801730353	18.8810086682427	17.1930365120937	14.9103883172917	17.0282341681289	19.995295224653	15.169213537083
Bacteria|Bacteroidetes|Flavobacteriia	0.794759825327511	0.695276912011508	4.7449055481184	1.9000757002271	3.58617691806129	1.27337843215281	1.02439447868739	6.17859026190895	4.13693510023785	3.05538960484766	1.59451421017845	1.13554434030281	2.8053585500394	3.19673393930057	2.17391304347826	1.08470250438666	2.95616717635066	3.79230338427074
Bacteria|Firmicutes|Bacilli	0.331877729257642	0.327659234396228	0.12643165253607	0.166540499621499	0.10142722596537	0.389972144846797	1.51054779060682	0.632800140622253	0.849473326537547	0.879064606981309	0.338730998017184	1.64023071377073	0.157604412923562	0.0616237867816977	0.174244938599403	0.103684798213431	0.0627303379596958	0.192015361228898
Bacteria|Proteobacteria|Alphaproteobacteria	3.79912663755458	4.17166147206905	6.41082849918191	5.82134746404239	6.63623849887706	5.51532033426184	4.19307231530515	3.09368957637546	2.95616717635066	3.28582401638645	4.20522141440846	4.26279740447008	3.53821907013396	4.49083346171622	3.45170925987388	3.90811931727548	4.43033011840351	3.79230338427074
Bacteria|Proteobacteria|Betaproteobacteria	21.8165938864629	13.3940701670263	18.6970102632753	20.3709311127933	26.6318916177643	20.8515718265022	11.988887924299	10.6433468096326	15.859667006456	17.1716309635572	15.1272306675479	11.8240807498198	17.6595744680851	23.3862270836543	15.6156654497179	16.3901738714309	18.0428134556575	16.2332986638931
Bacteria|Proteobacteria|Gammaproteobacteria	0.637554585152838	0.583393270998162	0.364420645545144	0.310370931112793	0.19560965007607	0.445682451253482	0.789999131869086	0.509755668834593	0.518178729187904	0.44379960740804	0.660938532716457	0.829127613554434	0.543735224586288	0.508396240949006	0.788250912711583	0.741745094911469	0.431271073472908	0.824065925274022
Bacteria|Proteobacteria|Unassigned	0.40174672489083	0.247742347958124	0.312360553324409	0.174110522331567	0.362240092733464	0.294468762435336	0.607691639899297	0.395500087888908	0.35677879714577	0.35845352906034	0.603106411103767	0.630857966834895	0.346729708431836	0.539208134339855	0.821440424825755	0.51044823735843	0.59593821061711	0.680054404352348
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales	1.59825327510917	2.61328218652601	1.37587386583371	2.02119606358819	0.818662609577628	2.18066056506168	1.55395433631392	1.97750043944454	2.61637784573564	1.94589058632756	2.4619960343688	1.75739005046864	2.1591804570528	1.42505006932676	1.75074676402257	1.70681129366725	2.74445228573669	1.9441555324426
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	0.40174672489083	0.951010948613442	0.542912390301949	0.333080999242998	0.275302470477432	0.382013529645842	0.651098185606389	0.624011249780278	0.518178729187904	0.46086882307758	0.63615333773959	0.639870223503965	0.591016548463357	0.847327068248344	0.531032193826751	0.749720848620195	1.10562220653964	0.584046723737899
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales	3.14410480349345	6.3533924718293	3.31697159006396	3.45193035579107	2.30384698978483	3.18344608038201	2.60439274242556	3.18157848479522	2.45497791369351	3.29435862422122	3.96563119629874	2.45133381398702	4.7123719464145	3.85918964720382	3.67573846664454	3.62896793747009	6.9081784678115	4.20033602688215
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales	2.33187772925764	2.19771437704787	2.87074222817195	1.89250567751703	0.949069042961675	1.37684042976522	1.71889921000087	2.39936719985938	6.38803941556235	3.48211999658616	2.37111698612029	2.2170151405912	3.04176516942474	2.98105068556463	2.31496846996349	3.70074972084862	3.57562926370266	2.48819905592447
