#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ea77f0ef6e6140ba12c5f74391f5d81c	0.0	37.0	24.0	0.0	47.0	0.0	0.0	0.0	0.0	46.0	87.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
d2bd2fec8bcaae715a590a0c7433b633	0.0	32.0	0.0	0.0	14.0	30.0	22.0	0.0	31.0	30.0	0.0	0.0	38.0	0.0	48.0	0.0	30.0	0.0
0091167b8dc904da47b75f4475194893	0.0	0.0	0.0	0.0	110.0	0.0	0.0	27.0	0.0	39.0	48.0	0.0	0.0	0.0	0.0	24.0	0.0	26.0
044cd3b69284eb2d5225c69253b79bee	0.0	0.0	0.0	33.0	43.0	56.0	0.0	7.0	26.0	12.0	0.0	20.0	32.0	0.0	22.0	0.0	19.0	0.0
3c54a2e9d49b1fd4a61f22d5b9de3393	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c61b398f1ad500b1d674412196ecd354	41.0	0.0	42.0	79.0	36.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e6b96bf188ad0307fc33b7cf98a363f9	0.0	0.0	0.0	0.0	0.0	0.0	17.0	38.0	0.0	17.0	0.0	0.0	55.0	16.0	40.0	29.0	0.0	47.0
cadaff0d6f54bedc130f946ee23c845e	0.0	0.0	0.0	28.0	0.0	26.0	0.0	0.0	42.0	32.0	0.0	0.0	51.0	42.0	16.0	0.0	19.0	0.0
d73ad1ccbba0d338bc74882399b96941	0.0	30.0	21.0	0.0	0.0	39.0	0.0	42.0	0.0	15.0	29.0	35.0	0.0	0.0	0.0	44.0	0.0	0.0
6c87a70236bdc6a9d2d3e787ca18ffae	0.0	0.0	0.0	0.0	0.0	0.0	40.0	29.0	24.0	32.0	18.0	14.0	0.0	0.0	27.0	34.0	10.0	22.0
b71f34d024707701229a86923f8da50a	14.0	17.0	17.0	0.0	9.0	15.0	27.0	19.0	18.0	15.0	0.0	35.0	11.0	13.0	13.0	0.0	21.0	0.0
039f2f450cd67cab485bf121801bb8a9	0.0	0.0	0.0	29.0	0.0	131.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	26.0
d4848d1c7fa2d4e348f61edd4c0a95e4	28.0	50.0	0.0	36.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	37.0	0.0	53.0	0.0	0.0
98374b8502779e346e6c5225dbb4ebc5	0.0	0.0	0.0	0.0	29.0	0.0	0.0	30.0	0.0	22.0	0.0	57.0	0.0	36.0	30.0	36.0	0.0	0.0
0bae39922cb0fba09faf24d6b37a26c5	0.0	0.0	0.0	28.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	189.0	0.0	0.0	0.0	0.0	0.0	0.0
142d35f0c0b4d7343ac919e43fd9de00	0.0	0.0	49.0	38.0	44.0	0.0	0.0	0.0	29.0	22.0	28.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0
8b482e83820693e05d4cc3faf46aac99	0.0	0.0	24.0	0.0	102.0	25.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0
18e989871df2312cab35836aa831533a	0.0	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	25.0	0.0
359cf1ddbe1cacfc409c5c98c3c8674c	35.0	17.0	28.0	37.0	0.0	32.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0
3d580696058e38bc8e7d6592e3b93802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0
bebf9e6c7de5c916f98cfbb67a232853	29.0	30.0	23.0	0.0	0.0	0.0	41.0	0.0	30.0	0.0	0.0	47.0	0.0	0.0	23.0	0.0	0.0	0.0
9a98a76d6da3f398bdd6b0201b15b843	48.0	0.0	0.0	0.0	24.0	45.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0
226502d6970add75e9ea9acf36078577	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0
db28867e51969585ab2bb9ed0a25519b	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	34.0	0.0	0.0	0.0	27.0	0.0	37.0
64dc39b14f6296c9feb83efb75442208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	12.0	0.0	0.0	19.0	0.0	38.0	0.0	0.0
30737bb239ccda236a0eea9813591db7	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	31.0	0.0	0.0	34.0	54.0	26.0	0.0	0.0
9f0a63c24691886f5b135ba064ec40b2	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	68.0	84.0
b8b6733bd2d375d373664d1a76925f7c	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	49.0	0.0	0.0	0.0	29.0	0.0
fa46d0e63b0f4630e1d830ad737a14d4	0.0	0.0	29.0	0.0	26.0	0.0	0.0	27.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	13.0	36.0	30.0
8806bd440600876a3e50541e0c18f10f	0.0	54.0	29.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0
b746e7884e92caff08ed3745f74f8df9	0.0	0.0	0.0	0.0	38.0	52.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0
226be8d6db86ab00ab3af494b53ca913	39.0	46.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0
73b2524018792ddac39fd8c7f73a961f	61.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0
a35008ca28ce5db02ddf7a5ef8ee84dc	0.0	22.0	0.0	0.0	41.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	27.0	0.0
5f771cc2c61ffa72d6af2b9e7c6f386d	0.0	37.0	34.0	38.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	11.0	0.0	27.0	0.0	0.0
5b8b1874f76b860cbd0d250b26522aba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	54.0	0.0	0.0	50.0
5248031d047cb58cf322fac2408a2f5e	0.0	0.0	0.0	53.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0
a6dae0ea1b001760e9ff2aaf9b233158	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	20.0	29.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0
87f416af5d06252532ea251dea6c9e43	0.0	0.0	0.0	0.0	0.0	34.0	51.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	32.0	0.0
f7a94e429f8706871c329179d97a8283	0.0	22.0	17.0	0.0	32.0	0.0	0.0	0.0	0.0	23.0	26.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
d4f0c64ccd4c80cbd0cabc8b48c4e5be	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.0	0.0	0.0
4872e90e618f7749decee28486d71ce2	58.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0
9304494ad5b82f0ad6c585d39f883f82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	102.0	0.0	0.0
92091155aa05ee90dd84177eeaa8d239	30.0	36.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	25.0	13.0	0.0	0.0
56a5dada1068d20db956dae603977a36	30.0	0.0	23.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	34.0	0.0	0.0
965d94c151ee4343a672595df0b9cd43	21.0	0.0	29.0	0.0	31.0	0.0	0.0	32.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0
f765279cb441ad03538121fe50dcfe4b	0.0	0.0	35.0	0.0	0.0	0.0	0.0	44.0	0.0	45.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fe1c3883e1ed8e7e258382c19568b892	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	17.0	0.0	0.0	0.0	38.0	22.0
