"","KO","Means","SD"
"num.edges",3937,3937,0
"num.pos.edges",2061,0,0
"num.neg.edges",1876,0,0
"num.vertices",200,200,0
"connectance",0.197839195979899,0.197839195979899,0
"average.degree",39.37,39.37,0
"average.path.length",2.11368946915197,1.80245628140704,0.000139648126226889
"diameter",5.91428571428571,3,0
"edge.connectivity",1,24.96,1.7917882270249
"clustering.coefficient",0.65268484705224,0.197677211954809,0.00163050349265319
"no.clusters",1,1,0
"centralization.degree",0.194120603015075,0.0828643216080402,0.0135332980134393
"centralization.betweenness",0.0280763635951027,0.00419232542743186,0.000800912483514709
"centralization.closeness",0.177980870914463,0.0538666260559783,0.00925293926630328
