"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean","Label"
"ASV_1","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned",0.0102443968278897,"ASV_1"
"ASV_10","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia_pickettii",0.0021930041409111,"ASV_10"
"ASV_101","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned",0.00157088970162635,"ASV_101"
"ASV_103","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_lutea",0.00337308465074117,"ASV_103"
"ASV_1032","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Unassigned",0.00150537161852328,"ASV_1032"
"ASV_105","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000885720568865395,"ASV_105"
"ASV_109","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned",0.000918685785410841,"ASV_109"
"ASV_11","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned",0.0064004820697059,"ASV_11"
"ASV_111","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Unassigned",0.00106689940949454,"ASV_111"
"ASV_1111","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned",0.000828364534420276,"ASV_1111"
"ASV_113","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00133642385395837,"ASV_113"
"ASV_114","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira","Unassigned",0.00152272470262954,"ASV_114"
"ASV_1159","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00099141378259046,"ASV_1159"
"ASV_116","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00160988620630291,"ASV_116"
"ASV_1168","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.000778745820213358,"ASV_1168"
"ASV_1172","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000798768938558562,"ASV_1172"
"ASV_1180","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00125547228043889,"ASV_1180"
"ASV_122","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00159326950310454,"ASV_122"
"ASV_123","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","Flavitalea_gansuensis",0.00126677465846553,"ASV_123"
"ASV_124","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned",0.00116863096899731,"ASV_124"
"ASV_127","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00169257378439928,"ASV_127"
"ASV_129","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned",0.0013880807122166,"ASV_129"
"ASV_1292","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Unassigned","Unassigned",0.00172939360514941,"ASV_1292"
"ASV_1295","Bacteria","Acidobacteria","Acidobacteria_Gp7","Unassigned","Unassigned","Gp7","Unassigned",0.000791125710216586,"ASV_1295"
"ASV_13","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassigned",0.00287352013796161,"ASV_13"
"ASV_130","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca",0.00159882614516607,"ASV_130"
"ASV_131","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_corrugata",0.00103862760245865,"ASV_131"
"ASV_133","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unassigned","Unassigned",0.00097857617287646,"ASV_133"
"ASV_1339","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Unassigned",0.0019582325309603,"ASV_1339"
"ASV_134","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","Unassigned",0.000794133804851232,"ASV_134"
