"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_1",33,0.414583333333333,187.575653706905,33
"ASV_7",28,0.371268656716418,71.1763757387559,28
"ASV_75",28,0.395626242544732,174.748552953973,28
"ASV_29",24,0.370577281191806,181.576140297988,24
"ASV_129",30,0.389432485322896,134.966156488879,30
"ASV_149",41,0.404471544715447,221.40965876864,41
"ASV_80",41,0.404471544715447,221.40965876864,41
"ASV_451",38,0.378326996197719,81.581978061479,38
"ASV_101",39,0.413721413721414,222.745279018632,39
"ASV_277",24,0.38715953307393,298.342663117869,24
"ASV_133",36,0.412863070539419,193.225086702966,36
"ASV_19",27,0.384912959381044,113.74873084929,27
"ASV_46",19,0.361161524500907,349.749747692533,19
"ASV_32",27,0.397205588822355,622.350644431653,27
"ASV_99",39,0.401209677419355,138.476997208605,39
"ASV_416",28,0.371268656716418,71.1763757387559,28
"ASV_3",24,0.370577281191806,181.576140297988,24
"ASV_272",30,0.389432485322896,134.966156488879,30
"ASV_190",39,0.401209677419355,138.476997208605,39
"ASV_205",39,0.401209677419355,138.476997208605,39
"ASV_735",29,0.409465020576132,592.265735898441,29
"ASV_725",51,0.437362637362637,439.229602011683,51
"ASV_384",33,0.414583333333333,187.575653706905,33
"ASV_63",41,0.404471544715447,221.40965876864,41
"ASV_305",28,0.371268656716418,71.1763757387559,28
"ASV_300",39,0.401209677419355,138.476997208605,39
"ASV_123",29,0.409465020576132,592.265735898441,29
"ASV_428",28,0.395626242544732,174.748552953973,28
"ASV_617",36,0.412863070539419,193.225086702966,36
"ASV_54",28,0.395626242544732,174.748552953973,28
"ASV_59",39,0.413721413721414,222.745279018632,39
"ASV_313",33,0.414583333333333,187.575653706905,33
"ASV_134",31,0.402834008097166,261.146149479983,31
"ASV_663",28,0.395626242544732,174.748552953973,28
"ASV_73",39,0.401209677419355,138.476997208605,39
"ASV_307",36,0.412863070539419,193.225086702966,36
"ASV_2",18,0.365137614678899,129.103680094251,18
"ASV_370",32,0.406952965235174,323.870392697518,32
"ASV_170",18,0.365137614678899,129.103680094251,18
"ASV_253",28,0.407786885245902,334.617189685467,28
"ASV_425",32,0.381957773512476,471.205796084146,32
"ASV_459",28,0.407786885245902,334.617189685467,28
"ASV_661",32,0.406952965235174,323.870392697518,32
"ASV_207",16,0.365808823529412,308.494822202562,16
"ASV_433",16,0.359855334538879,236.098393344365,16
"ASV_13",8,0.299248120300752,120.797853412866,8
"ASV_30",4,0.278321678321678,71.211643393525,4
"ASV_213",12,0.328925619834711,290.045455017532,12
"ASV_229",5,0.291788856304985,83.3880961283816,5
"ASV_88",21,0.365808823529412,554.469519820874,21
"ASV_130",25,0.365137614678899,224.393583212913,25
"ASV_92",17,0.339011925042589,73.3970694145236,17
"ASV_18",20,0.369888475836431,118.358803843999,20
"ASV_31",22,0.352212389380531,297.387356261143,22
"ASV_40",20,0.340753424657534,106.80603697022,20
"ASV_144",22,0.352212389380531,304.429217805487,22
"ASV_136",13,0.329470198675497,297.186660903336,13
"ASV_69",20,0.349736379613357,177.961981839925,20
"ASV_228",19,0.354723707664884,181.270210607125,19
"ASV_64",18,0.349736379613357,189.486070677012,18
"ASV_196",24,0.375471698113208,267.105984165595,24
"ASV_17",19,0.354723707664884,181.270210607125,19
"ASV_258",20,0.369888475836431,118.358803843999,20
"ASV_93",15,0.346086956521739,169.705462280078,15
"ASV_842",24,0.375471698113208,267.105984165595,24
"ASV_114",18,0.349736379613357,189.486070677012,18
"ASV_94",26,0.373358348968105,215.67415004396,26
"ASV_608",24,0.375471698113208,267.105984165595,24
"ASV_191",15,0.346086956521739,169.705462280078,15
"ASV_733",26,0.373358348968105,215.67415004396,26
"ASV_111",17,0.363138686131387,304.810366678288,17
"ASV_278",25,0.365137614678899,224.393583212913,25
"ASV_323",20,0.340753424657534,106.80603697022,20
"ASV_1243",20,0.340753424657534,106.80603697022,20
"ASV_47",28,0.36247723132969,99.7114424932903,28
"ASV_103",24,0.364468864468864,105.556490848021,24
"ASV_178",24,0.364468864468864,105.556490848021,24
"ASV_179",11,0.33843537414966,203.664423062352,11
"ASV_332",21,0.369888475836431,361.697561724663,21
"ASV_235",28,0.36247723132969,99.7114424932903,28
"ASV_521",28,0.36247723132969,99.7114424932903,28
"ASV_324",28,0.36247723132969,99.7114424932903,28
"ASV_348",21,0.366482504604052,131.432550348407,21
"ASV_61",15,0.345486111111111,113.302937921631,15
"ASV_194",15,0.352212389380531,150.486727115307,15
"ASV_1938",22,0.374764595103578,253.449343743129,22
"ASV_286",19,0.351590106007067,251.743529197836,19
