"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean","Label"
"ASV_94","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000948683299921236,"ASV_94"
"ASV_191","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned",0.000930317679144695,"ASV_191"
"ASV_733","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.000927638456684417,"ASV_733"
"ASV_323","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned",0.000772723462658802,"ASV_323"
"ASV_1243","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00076133276077918,"ASV_1243"
"ASV_5","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned",0.00602245338906053,"ASV_5"
"ASV_320","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000917896739052069,"ASV_320"
"ASV_155","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca",0.000879223198834473,"ASV_155"
"ASV_76","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Unassigned","Unassigned","Unassigned",0.000864342937612482,"ASV_76"
"ASV_398","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned",0.000811805037347889,"ASV_398"
"ASV_219","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca",0.00116713590105902,"ASV_219"
"ASV_294","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca",0.000956691111983737,"ASV_294"
"ASV_57","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Unassigned",0.000908481143827876,"ASV_57"
"ASV_361","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000787436332925695,"ASV_361"
"ASV_51","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_arabidopsis",0.000931837842489228,"ASV_51"
"ASV_573","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned",0.000902825661959127,"ASV_573"
"ASV_329","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca",0.000849650225041423,"ASV_329"
"ASV_347","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis",0.000848144217758758,"ASV_347"
"ASV_476","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned",0.000833379713503325,"ASV_476"
"ASV_930","Bacteria","Acidobacteria","Acidobacteria_Gp7","Unassigned","Unassigned","Gp7","Unassigned",0.000821336920326072,"ASV_930"
"ASV_348","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned",0.00144338702946771,"ASV_348"
"ASV_61","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta",0.00136797806044319,"ASV_61"
"ASV_350","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned",0.0009373618484135,"ASV_350"
"ASV_352","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000881627256218803,"ASV_352"
"ASV_107","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta",0.000841024360853388,"ASV_107"
"ASV_328","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.000788907668374556,"ASV_328"
"ASV_62","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00328318367381177,"ASV_62"
"ASV_122","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",0.00239771844052795,"ASV_122"
"ASV_304","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned",0.00106313252901453,"ASV_304"
"ASV_124","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned",0.00133360969902253,"ASV_124"
"ASV_39","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00395855060346308,"ASV_39"
"ASV_211","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","Niastella_koreensis",0.00116754221561005,"ASV_211"
"ASV_153","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned",0.00102686890606173,"ASV_153"
"ASV_286","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter","Unassigned",0.000976340991231985,"ASV_286"
