"","KO","Means","SD"
"num.edges",2041,2041,0
"num.pos.edges",1042,0,0
"num.neg.edges",999,0,0
"num.vertices",200,200,0
"connectance",0.102562814070352,0.102562814070352,0
"average.degree",20.41,20.41,0
"average.path.length",2.40781976828603,2.0079351758794,0.00270380358663704
"diameter",5.97142857142857,3,0
"edge.connectivity",1,9.58,1.23239112248826
"clustering.coefficient",0.552286664796184,0.102826516119453,0.00246205058746923
"no.clusters",1,1,0
"centralization.degree",0.153718592964824,0.0616582914572864,0.00841713277667109
"centralization.betweenness",0.022349993938611,0.00775768627377033,0.00130852962707377
"centralization.closeness",0.165553478237471,0.0802880100212619,0.00788190151881291
