"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_5",2.71019512082262,-36.2327943272417,"bac_ASV_5","bac","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","bac",0,0,0,0
"bac_ASV_50",-31.9619640496962,-15.4073052901857,"bac_ASV_50","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",2,0.192660550458716,115.912294604504,2
"bac_ASV_502",23.8994843867236,-25.1494484753724,"bac_ASV_502","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassigned","bac",0,0,0,0
"bac_ASV_503",-22.6049815102091,2.38393203021186,"bac_ASV_503","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_heleia","bac",1,0.17319587628866,0,1
"bac_ASV_504",40.350168914372,1.71401664593399,"bac_ASV_504","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_rubra","bac",0,0,0,0
"bac_ASV_507",-39.2525945333054,2.24458049711703,"bac_ASV_507","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_incertae_sedis","Caldalkalibacillus","Caldalkalibacillus_thermarum","bac",0,0,0,0
"bac_ASV_508",26.4150926549705,-16.7856253119605,"bac_ASV_508","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",1,1,0,1
"bac_ASV_51",11.9123197395471,37.360688358516,"bac_ASV_51","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_arabidopsis","bac",0,0,0,0
"bac_ASV_513",-5.87474425390376,19.9873008603245,"bac_ASV_513","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",3,0.135922330097087,42.8858691396964,3
"bac_ASV_52",-6.1198963769921,9.64056100901952,"bac_ASV_52","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Pseudoduganella_violaceinigra","bac",2,0.15819209039548,1.39298245614035,2
"bac_ASV_521",7.07471148614276,-4.83908497095149,"bac_ASV_521","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Desertibacter","Desertibacter_roseus","bac",3,0.223107569721116,169.629893251537,3
"bac_ASV_522",25.2312668353248,-32.0337030853545,"bac_ASV_522","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_524",8.10248963220209,39.4483246797427,"bac_ASV_524","bac","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","bac",0,0,0,0
"bac_ASV_526",-35.8345282232693,-12.5437024590232,"bac_ASV_526","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",1,0.16231884057971,0,1
"bac_ASV_53",-2.04481530004188,-9.22289954891325,"bac_ASV_53","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unassigned","Unassigned","bac",2,0.157894736842105,3.21144732452666,2
