"","one"
"num.edges",728
"num.pos.edges",0
"num.neg.edges",0
"num.vertices",422
"connectance",0.0081953372133602
"average.degree",3.45023696682464
"average.path.length",5.61445422007511
"diameter",16
"edge.connectivity",0
"clustering.coefficient",0
"no.clusters",33
"centralization.degree",0.0749400547106303
"centralization.betweenness",0.11073091233542
"centralization.closeness",1.37856248291014
