"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
82,0.408710217755444,13016.504332942,82
51,0.344146685472496,4781.22947451715,51
20,0.302354399008674,1018.50031568177,20
41,0.314838709677419,3807.62482813401,41
21,0.338418862690707,2504.10261447432,21
7,0.244244244244244,1281.06675636328,7
14,0.314028314028314,1224.55600596995,14
11,0.244244244244244,1783.04024532582,11
12,0.270810210876804,514.814601882393,12
23,0.306148055207026,4122.99752555377,23
11,0.272625698324022,1326.76032863203,11
12,0.318954248366013,803.818578912474,12
7,0.303860523038605,344.055283045121,7
6,0.304619225967541,640.815441378204,6
11,0.288075560802834,396.652547507529,11
12,0.304619225967541,502.036505656263,12
17,0.314838709677419,1773.96642914159,17
13,0.331972789115646,1036.22142256115,13
24,0.311621966794381,1403.02860167608,24
13,0.248219735503561,2489.00184522798,13
17,0.295757575757576,1611.75554860665,17
22,0.293622141997593,4074.65198965867,22
3,0.246713852376138,77.723715856156,3
11,0.32751677852349,616.314525612957,11
11,0.281430219146482,354.687491457208,11
11,0.281430219146482,540.222996908836,11
10,0.28078250863061,483.43488768641,10
10,0.269018743109151,203.582488463146,10
7,0.274465691788526,228.960617642509,7
2,0.20082304526749,52.1251186604283,2
2,0.234841193455245,1.74693486416179,2
1,0.218051831992851,0,1
3,0.312820512820513,55.369232077806,3
1,0.29047619047619,0,1
1,0.29047619047619,0,1
2,0.309644670050761,28.4326194707774,2
2,0.300492610837438,35.1023448030909,2
4,0.344632768361582,262.211434580979,4
1,0.19645732689211,0,1
3,0.255230125523013,115.444069008406,3
2,0.300492610837438,35.1023448030909,2
1,0.234615384615385,0,1
1,0.214411247803163,0,1
9,0.285714285714286,732.691258714765,9
5,0.338888888888889,200.563730664578,5
1,0.234615384615385,0,1
1,0.19645732689211,0,1
1,0.234615384615385,0,1
1,0.233716475095785,0,1
1,0.19645732689211,0,1
1,0.237816764132554,0,1
1,0.29047619047619,0,1
2,0.309644670050761,28.4326194707774,2
1,0.199021207177814,0,1
1,0.29047619047619,0,1
2,0.300492610837438,35.1023448030909,2
1,0.239685658153242,0,1
1,0.228464419475655,0,1
2,0.245967741935484,41.3715466513127,2
5,0.348571428571429,320.374323554459,5
1,0.29047619047619,0,1
1,0.199021207177814,0,1
2,0.300492610837438,35.1023448030909,2
4,0.324468085106383,152.934106097566,4
1,0.214411247803163,0,1
2,0.245967741935484,41.3715466513127,2
1,0.199021207177814,0,1
1,0.227188081936685,0,1
3,0.306532663316583,277.848297190143,3
2,0.293269230769231,16.6837567075991,2
1,0.256302521008403,0,1
1,0.239685658153242,0,1
3,0.312820512820513,61.2054396189023,3
1,0.29047619047619,0,1
2,0.300492610837438,35.1023448030909,2
1,0.227188081936685,0,1
1,0.29047619047619,0,1
2,0.238747553816047,63.1804647706455,2
1,0.232380952380952,0,1
3,0.256842105263158,400.505882937169,3
5,0.336088154269972,339.905991264971,5
4,0.335164835164835,147.567690922641,4
1,0.19645732689211,0,1
3,0.265795206971678,50.7932349333379,3
1,0.213286713286713,0,1
5,0.312820512820513,624.300989663071,5
4,0.293975903614458,262.823139462372,4
8,0.296116504854369,1148.66357115336,8
1,0.214411247803163,0,1
3,0.247967479674797,24.0057151826456,3
6,0.363095238095238,2104.43245205358,6
2,0.264069264069264,36.6497011704541,2
5,0.257928118393235,54.4774805230336,5
1,0.199021207177814,0,1
1,0.239685658153242,0,1
4,0.266958424507659,492.298677720714,4
1,0.227188081936685,0,1
1,0.199021207177814,0,1
4,0.327956989247312,408.248506713566,4
6,0.256302521008403,21.0905399111876,6
2,0.243512974051896,269.451410977892,2
4,0.324468085106383,192.325019155886,4
1,0.29047619047619,0,1
1,0.29047619047619,0,1
1,0.227188081936685,0,1
1,0.227188081936685,0,1
1,0.29047619047619,0,1
5,0.338888888888889,200.563730664578,5
1,0.29047619047619,0,1
1,0.214411247803163,0,1
2,0.258474576271186,3.91976336309031,2
2,0.240157480314961,2.04781559681728,2
4,0.335164835164835,147.567690922641,4
1,0.227188081936685,0,1
5,0.345609065155807,938.493532990695,5
14,0.283720930232558,487.788720273473,14
9,0.336088154269972,978.370467247963,9
4,0.255230125523013,12.566573140127,4
1,0.232380952380952,0,1
9,0.29683698296837,994.9058097917,9
1,0.29047619047619,0,1
2,0.300492610837438,35.1023448030909,2
2,0.259023354564756,7.42488929399587,2
1,0.21981981981982,0,1
2,0.309644670050761,28.4326194707774,2
3,0.253112033195021,8.11135711002441,3
5,0.327956989247312,243.674085345724,5
