"","one"
"num.edges",515
"num.pos.edges",0
"num.neg.edges",0
"num.vertices",245
"connectance",0.0172298427567748
"average.degree",4.20408163265306
"average.path.length",3.80863164938106
"diameter",8
"edge.connectivity",1
"clustering.coefficient",0
"no.clusters",1
"centralization.degree",0.318835731013717
"centralization.betweenness",0.429258358130142
"centralization.closeness",0.279968998655374
