OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_73	30	19	14	21	6	25	14	21	20	21	21	24	11	15	32	83	26	23
ASV_75	14	23	40	27	45	30	8	21	24	8	49	13	26	21	20	19	17	21
ASV_77	21	11	32	16	18	17	13	10	21	16	16	35	14	52	14	82	13	16
ASV_83	19	41	15	0	2	106	30	5	11	51	10	13	64	0	12	22	7	13
ASV_84	22	8	23	25	23	20	11	11	42	27	18	21	22	34	26	25	29	33
ASV_81	28	14	13	22	35	9	11	31	14	26	75	29	16	7	36	16	15	18
ASV_93	11	4	8	8	53	11	14	115	5	20	46	13	1	4	35	0	46	26
ASV_79	33	14	12	29	35	53	4	7	29	12	8	19	25	47	15	17	22	19
ASV_78	24	17	10	14	34	16	24	15	19	15	18	25	18	13	30	56	32	28
ASV_85	19	20	28	20	8	12	10	19	34	21	20	12	33	24	22	21	43	47
ASV_80	29	22	22	27	17	21	14	16	4	14	40	22	3	0	41	35	36	43
ASV_88	33	44	6	6	2	134	13	16	12	32	13	27	20	4	35	14	1	3
