"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_50",31,1,0,31
"ASV_221",31,1,0,31
"ASV_223",31,1,0,31
"ASV_504",31,1,0,31
"ASV_674",31,1,0,31
"ASV_194",31,1,0,31
"ASV_526",31,1,0,31
"ASV_183",31,1,0,31
"ASV_869",31,1,0,31
"ASV_1426",31,1,0,31
"ASV_663",31,1,0,31
"ASV_999",31,1,0,31
"ASV_216",31,1,0,31
"ASV_307",31,1,0,31
"ASV_511",31,1,0,31
"ASV_3075",31,1,0,31
"ASV_905",31,1,0,31
"ASV_384",31,1,0,31
"ASV_3230",31,1,0,31
"ASV_1993",31,1,0,31
"ASV_267",31,1,0,31
"ASV_1924",31,1,0,31
"ASV_1238",31,1,0,31
"ASV_3264",31,1,0,31
"ASV_3861",31,1,0,31
"ASV_884",31,1,0,31
"ASV_459",31,1,0,31
"ASV_2582",31,1,0,31
"ASV_64",14,1,0,14
"ASV_15",14,1,0,14
"ASV_136",14,1,0,14
"ASV_149",14,1,0,14
"ASV_94",14,1,0,14
"ASV_347",14,1,0,14
"ASV_367",14,1,0,14
"ASV_433",14,1,0,14
"ASV_1028",14,1,0,14
"ASV_824",14,1,0,14
"ASV_266",14,1,0,14
"ASV_952",14,1,0,14
"ASV_3850",14,1,0,14
"ASV_1437",14,1,0,14
"ASV_44",9,1,0,9
"ASV_128",9,1,0,9
"ASV_26",9,1,0,9
"ASV_23",9,1,0,9
"ASV_1236",9,1,0,9
"ASV_264",9,1,0,9
"ASV_545",9,1,0,9
"ASV_1404",9,1,0,9
"ASV_617",9,1,0,9
"ASV_790",6,1,0,6
"ASV_646",6,1,0,6
"ASV_281",6,1,0,6
"ASV_683",6,1,0,6
"ASV_890",6,1,0,6
"ASV_2916",6,1,0,6
"ASV_72",9,1,0,9
"ASV_88",9,1,0,9
"ASV_556",9,1,0,9
"ASV_843",9,1,0,9
"ASV_655",9,1,0,9
"ASV_1025",9,1,0,9
"ASV_332",9,1,0,9
"ASV_473",9,1,0,9
"ASV_1391",9,1,0,9
"ASV_796",4,1,0,4
"ASV_1047",4,1,0,4
"ASV_1565",4,1,0,4
"ASV_7118",4,1,0,4
"ASV_189",3,1,0,3
"ASV_1513",3,1,0,3
"ASV_5532",3,1,0,3
"ASV_278",5,1,0,5
"ASV_338",5,1,0,5
"ASV_319",5,1,0,5
"ASV_202",5,1,0,5
"ASV_924",5,1,0,5
"ASV_42",7,1,0,7
"ASV_116",7,1,0,7
"ASV_489",7,1,0,7
"ASV_4159",7,1,0,7
"ASV_580",7,1,0,7
"ASV_846",7,1,0,7
"ASV_485",7,1,0,7
"ASV_305",3,1,0,3
"ASV_391",3,1,0,3
"ASV_986",3,1,0,3
"ASV_6",11,1,0,11
"ASV_466",11,1,0,11
"ASV_284",11,1,0,11
"ASV_524",11,1,0,11
"ASV_224",11,1,0,11
"ASV_1349",11,1,0,11
"ASV_357",11,1,0,11
"ASV_318",11,1,0,11
"ASV_915",11,1,0,11
"ASV_805",11,1,0,11
"ASV_1896",11,1,0,11
"ASV_132",19,1,0,19
"ASV_71",19,1,0,19
"ASV_31",19,1,0,19
"ASV_555",19,1,0,19
"ASV_1378",19,1,0,19
"ASV_1305",19,1,0,19
"ASV_403",19,1,0,19
"ASV_98",19,1,0,19
"ASV_3805",19,1,0,19
"ASV_3241",19,1,0,19
"ASV_150",19,1,0,19
"ASV_615",19,1,0,19
"ASV_2464",19,1,0,19
"ASV_612",19,1,0,19
"ASV_2137",19,1,0,19
"ASV_1909",19,1,0,19
"ASV_519",19,1,0,19
"ASV_322",19,1,0,19
"ASV_1182",19,1,0,19
"ASV_45",8,1,0,8
"ASV_265",8,1,0,8
"ASV_83",8,1,0,8
"ASV_699",8,1,0,8
"ASV_662",8,1,0,8
"ASV_932",8,1,0,8
"ASV_619",8,1,0,8
"ASV_911",8,1,0,8
"ASV_217",9,1,0,9
"ASV_95",9,1,0,9
"ASV_348",9,1,0,9
"ASV_156",9,1,0,9
"ASV_230",9,1,0,9
"ASV_949",9,1,0,9
"ASV_2987",9,1,0,9
"ASV_1338",9,1,0,9
"ASV_592",9,1,0,9
"ASV_105",8,1,0,8
"ASV_122",8,1,0,8
"ASV_798",8,1,0,8
"ASV_172",8,1,0,8
"ASV_606",8,1,0,8
"ASV_3619",8,1,0,8
"ASV_603",8,1,0,8
"ASV_518",8,1,0,8
"ASV_1905",1,1,0,1
"ASV_166",3,1,0,3
"ASV_303",3,1,0,3
"ASV_5430",3,1,0,3
"ASV_888",12,1,0,12
"ASV_113",12,1,0,12
"ASV_252",12,1,0,12
"ASV_152",12,1,0,12
"ASV_639",12,1,0,12
"ASV_441",12,1,0,12
"ASV_1962",12,1,0,12
"ASV_566",12,1,0,12
"ASV_682",12,1,0,12
"ASV_933",12,1,0,12
"ASV_1479",12,1,0,12
"ASV_1038",12,1,0,12
"ASV_68",7,1,0,7
"ASV_162",7,1,0,7
"ASV_326",7,1,0,7
"ASV_345",7,1,0,7
"ASV_453",7,1,0,7
"ASV_845",7,1,0,7
"ASV_1653",7,1,0,7
"ASV_981",2,1,0,2
"ASV_341",2,1,0,2
"ASV_240",1,1,0,1
"ASV_536",5,1,0,5
"ASV_527",5,1,0,5
"ASV_429",5,1,0,5
"ASV_1033",5,1,0,5
"ASV_1797",5,1,0,5
"ASV_482",1,1,0,1
"ASV_188",13,1,0,13
"ASV_1277",13,1,0,13
"ASV_1980",13,1,0,13
"ASV_1842",13,1,0,13
"ASV_1912",13,1,0,13
"ASV_1614",13,1,0,13
"ASV_740",13,1,0,13
"ASV_960",13,1,0,13
"ASV_571",13,1,0,13
"ASV_1155",13,1,0,13
"ASV_1051",13,1,0,13
"ASV_1470",13,1,0,13
"ASV_1711",13,1,0,13
"ASV_5552",4,1,0,4
"ASV_681",4,1,0,4
"ASV_1111",4,1,0,4
"ASV_1230",4,1,0,4
"ASV_657",3,1,0,3
"ASV_317",3,1,0,3
"ASV_761",3,1,0,3
"ASV_763",2,1,0,2
"ASV_1600",2,1,0,2
"ASV_870",6,1,0,6
"ASV_334",6,1,0,6
"ASV_1239",6,1,0,6
"ASV_2315",6,1,0,6
"ASV_743",6,1,0,6
"ASV_3391",6,1,0,6
"ASV_117",2,1,0,2
"ASV_784",2,1,0,2
"ASV_522",3,1,0,3
"ASV_1091",3,1,0,3
"ASV_232",3,1,0,3
"ASV_137",3,1,0,3
"ASV_108",3,1,0,3
"ASV_220",3,1,0,3
"ASV_99",8,1,0,8
"ASV_358",8,1,0,8
"ASV_336",8,1,0,8
"ASV_1228",8,1,0,8
"ASV_269",8,1,0,8
"ASV_425",8,1,0,8
"ASV_2714",8,1,0,8
"ASV_1161",8,1,0,8
"ASV_716",15,1,0,15
"ASV_397",15,1,0,15
"ASV_406",15,1,0,15
"ASV_605",15,1,0,15
"ASV_694",15,1,0,15
"ASV_258",15,1,0,15
"ASV_821",15,1,0,15
"ASV_537",15,1,0,15
"ASV_762",15,1,0,15
"ASV_323",15,1,0,15
"ASV_6091",15,1,0,15
"ASV_2114",15,1,0,15
"ASV_483",15,1,0,15
"ASV_1183",15,1,0,15
"ASV_4538",15,1,0,15
"ASV_92",3,1,0,3
"ASV_102",3,1,0,3
"ASV_661",3,1,0,3
"ASV_227",9,1,0,9
"ASV_1216",9,1,0,9
