"","KO","Means","SD"
"num.edges",2674,2674,0
"num.pos.edges",1400,0,0
"num.neg.edges",1274,0,0
"num.vertices",882,882,0
"connectance",0.00688251085526908,0.00688251085526908,0
"average.degree",6.06349206349206,6.06349206349206,0
"average.path.length",1,3.96301891079783,0.00678630607639572
"diameter",1,7.59,0.533617348619284
"edge.connectivity",0,0.19,0.394277244403663
"clustering.coefficient",1,0.00700963541206563,0.00110828953489481
"no.clusters",189,2.93,1.3651876697866
"centralization.degree",0.0169540385204403,0.0104046628110192,0.00138647308542787
"centralization.betweenness",0,0.0140742988875676,0.00248528858141511
"centralization.closeness",0,NA,NA
