"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_630",1,1,0,1
"ASV_510",1,1,0,1
"ASV_725",1,1,0,1
"ASV_260",1,1,0,1
"ASV_131",3,0.666666666666667,11,3
"ASV_445",2,0.5,5,2
"ASV_99",1,1,0,1
"ASV_750",2,1,1,2
"ASV_2011",3,1,2,3
"ASV_7471",2,0.75,0,2
"ASV_901",1,1,0,1
"ASV_51",1,1,0,1
"ASV_1577",1,1,0,1
"ASV_1598",1,1,0,1
"ASV_2830",3,0.6,9,3
"ASV_1033",1,1,0,1
"ASV_201",1,1,0,1
"ASV_614",1,1,0,1
"ASV_1346",1,1,0,1
"ASV_599",2,1,1,2
"ASV_572",1,1,0,1
"ASV_3106",1,1,0,1
"ASV_2902",1,1,0,1
"ASV_1236",1,0.5,0,1
"ASV_6921",2,0.75,2,2
"ASV_1519",1,1,0,1
"ASV_256",1,0.666666666666667,0,1
"ASV_1457",1,1,0,1
"ASV_4370",1,1,0,1
"ASV_468",1,1,0,1
"ASV_617",2,0.75,0,2
"ASV_400",1,0.6,0,1
"ASV_1003",2,0.75,0,2
"ASV_403",1,1,0,1
"ASV_245",1,1,0,1
"ASV_1489",1,1,0,1
"ASV_986",1,1,0,1
"ASV_389",1,1,0,1
"ASV_261",1,1,0,1
"ASV_1138",1,0.666666666666667,0,1
"ASV_312",1,0.666666666666667,0,1
"ASV_347",1,1,0,1
"ASV_1130",1,1,0,1
"ASV_4323",1,1,0,1
"ASV_1008",1,1,0,1
"ASV_560",1,1,0,1
"ASV_1011",1,1,0,1
"ASV_795",1,1,0,1
"ASV_1239",1,1,0,1
"ASV_702",1,1,0,1
"ASV_413",1,1,0,1
"ASV_1467",2,1,1,2
"ASV_2297",1,1,0,1
"ASV_5449",1,1,0,1
"ASV_1189",1,1,0,1
"ASV_1758",1,1,0,1
"ASV_6280",1,1,0,1
"ASV_1141",1,1,0,1
"ASV_477",1,0.6,0,1
"ASV_1430",1,1,0,1
"ASV_1599",1,1,0,1
"ASV_1736",1,1,0,1
"ASV_1191",1,1,0,1
"ASV_716",1,0.666666666666667,0,1
"ASV_1282",1,1,0,1
"ASV_813",1,1,0,1
"ASV_688",2,1,0,2
"ASV_3307",2,1,0,2
"ASV_1120",1,1,0,1
"ASV_8269",1,1,0,1
"ASV_5299",1,1,0,1
"ASV_994",1,1,0,1
"ASV_374",1,0.4,0,1
"ASV_1930",1,1,0,1
"ASV_47",1,1,0,1
"ASV_30",1,1,0,1
"ASV_15",1,1,0,1
"ASV_66",1,1,0,1
"ASV_60",1,0.428571428571429,0,1
"ASV_348",1,0.352941176470588,0,1
"ASV_1292",1,1,0,1
"ASV_370",1,0.666666666666667,0,1
"ASV_71",2,0.75,0,2
"ASV_456",1,1,0,1
"ASV_1180",1,1,0,1
"ASV_229",1,1,0,1
"ASV_874",1,1,0,1
"ASV_83",1,0.4,0,1
"ASV_149",1,1,0,1
"ASV_109",1,1,0,1
"ASV_313",1,1,0,1
"ASV_451",1,1,0,1
"ASV_1111",1,0.666666666666667,0,1
"ASV_180",1,1,0,1
"ASV_1228",1,1,0,1
"ASV_433",1,1,0,1
"ASV_2254",2,0.75,2,2
"ASV_459",1,1,0,1
"ASV_1018",1,1,0,1
"ASV_350",1,1,0,1
"ASV_476",1,1,0,1
"ASV_76",3,1,2,3
"ASV_964",1,1,0,1
"ASV_322",1,1,0,1
"ASV_258",1,1,0,1
"ASV_415",1,1,0,1
"ASV_407",1,1,0,1
"ASV_2975",1,1,0,1
"ASV_226",2,1,1,2
"ASV_148",1,1,0,1
"ASV_1207",1,1,0,1
"ASV_230",1,1,0,1
"ASV_581",1,1,0,1
"ASV_663",1,1,0,1
"ASV_1054",1,1,0,1
"ASV_211",1,1,0,1
"ASV_2951",1,1,0,1
"ASV_622",1,1,0,1
"ASV_495",1,1,0,1
"ASV_84",1,0.666666666666667,0,1
"ASV_494",1,1,0,1
"ASV_693",1,1,0,1
"ASV_965",1,1,0,1
"ASV_498",1,1,0,1
"ASV_2691",1,1,0,1
"ASV_394",1,1,0,1
"ASV_1391",1,1,0,1
"ASV_2893",1,1,0,1
"ASV_1156",1,1,0,1
"ASV_240",1,1,0,1
"ASV_1246",1,0.666666666666667,0,1
"ASV_1214",1,1,0,1
"ASV_1181",1,1,0,1
"ASV_629",2,1,0,2
"ASV_355",1,1,0,1
"ASV_5668",1,1,0,1
"ASV_1337",1,1,0,1
"ASV_2033",1,1,0,1
"ASV_1247",1,1,0,1
"ASV_623",1,0.5,0,1
