source,target,correlation,direct,cor
ASV_994,ASV_2033,-0.994725665161807,undirected,-
ASV_66,ASV_260,-0.997802880005824,undirected,-
ASV_750,ASV_716,-0.994289064609936,undirected,-
ASV_2033,ASV_994,-0.994725665161807,undirected,-
ASV_83,ASV_2830,-0.993863781332866,undirected,-
ASV_131,ASV_2830,0.994362428978695,undirected,+
ASV_374,ASV_2830,0.993830948891671,undirected,+
ASV_456,ASV_901,0.998763886307986,undirected,+
ASV_451,ASV_1346,0.994232521622114,undirected,+
ASV_229,ASV_1577,0.997683654043493,undirected,+
ASV_965,ASV_1189,-0.996064894376825,undirected,-
ASV_350,ASV_4370,-0.998065109170649,undirected,-
ASV_2830,ASV_374,0.993830948891671,undirected,+
ASV_230,ASV_4323,-0.994246601234519,undirected,-
ASV_2691,ASV_6280,0.997054851884797,undirected,+
ASV_1018,ASV_1457,-0.995349226817021,undirected,-
ASV_5668,ASV_8269,0.994644359166475,undirected,+
ASV_1930,ASV_1247,0.995803351882147,undirected,+
ASV_355,ASV_1120,0.994903744468041,undirected,+
ASV_1156,ASV_1736,-0.998008067516635,undirected,-
ASV_240,ASV_1191,0.998391287821512,undirected,+
ASV_599,ASV_256,0.994255023538899,undirected,+
ASV_2893,ASV_1599,0.996832011385731,undirected,+
ASV_1214,ASV_1282,0.994760947504829,undirected,+
ASV_629,ASV_688,0.999084268439037,undirected,+
ASV_3307,ASV_688,0.996808346125949,undirected,+
ASV_394,ASV_1141,0.996185318445796,undirected,+
ASV_1391,ASV_1430,0.999874388868701,undirected,+
ASV_415,ASV_986,0.998960284295676,undirected,+
ASV_6921,ASV_623,0.998889556563668,undirected,+
ASV_629,ASV_3307,0.99726960675615,undirected,+
ASV_688,ASV_3307,0.996808346125949,undirected,+
ASV_874,ASV_1598,-0.993862279102876,undirected,-
ASV_1247,ASV_1930,0.995803351882147,undirected,+
ASV_1337,ASV_5299,-0.996681998811269,undirected,-
ASV_71,ASV_7471,-0.997452584538223,undirected,-
ASV_2011,ASV_7471,0.996245736134758,undirected,+
ASV_30,ASV_510,0.99681823982851,undirected,+
ASV_2254,ASV_1236,0.994371136401913,undirected,+
ASV_84,ASV_1467,0.996158683112887,undirected,+
ASV_1246,ASV_1467,-0.996847193578613,undirected,-
ASV_498,ASV_1758,-0.996169115565921,undirected,-
ASV_2254,ASV_6921,0.994324768395902,undirected,+
ASV_623,ASV_6921,0.998889556563668,undirected,+
ASV_149,ASV_1033,-0.996022113212618,undirected,-
