"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_1111",1,0.368421052631579,0,1
"ASV_288",1,0.666666666666667,0,1
"ASV_193",1,1,0,1
"ASV_555",4,0.372093023255814,19,4
"ASV_386",1,1,0,1
"ASV_804",2,0.571428571428571,3,2
"ASV_364",1,0.4,0,1
"ASV_390",1,1,0,1
"ASV_1006",3,0.285714285714286,0,3
"ASV_455",1,1,0,1
"ASV_2092",1,1,0,1
"ASV_1556",1,1,0,1
"ASV_445",1,0.4,0,1
"ASV_2709",1,1,0,1
"ASV_222",1,1,0,1
"ASV_907",2,1,1,2
"ASV_1854",1,0.666666666666667,0,1
"ASV_1866",1,1,0,1
"ASV_1295",3,0.428571428571429,8,3
"ASV_4142",4,0.636363636363636,12,4
"ASV_959",1,1,0,1
"ASV_1030",1,1,0,1
"ASV_393",1,1,0,1
"ASV_225",1,1,0,1
"ASV_1877",1,1,0,1
"ASV_1012",1,1,0,1
"ASV_729",1,0.315789473684211,0,1
"ASV_3152",1,0.290322580645161,0,1
"ASV_1833",1,1,0,1
"ASV_708",2,0.75,0,2
"ASV_2159",1,1,0,1
"ASV_602",1,1,0,1
"ASV_3515",1,1,0,1
"ASV_890",1,1,0,1
"ASV_285",1,1,0,1
