source,target,correlation,direct,cor
ASV_1404,ASV_1,0.993558181687431,undirected,+
ASV_187,ASV_29,0.992159932949112,undirected,+
ASV_1182,ASV_29,-0.992935176467372,undirected,-
ASV_805,ASV_3,-0.993049562901919,undirected,-
ASV_2219,ASV_131,0.998807062899386,undirected,+
ASV_890,ASV_131,0.992268983222376,undirected,+
ASV_7711,ASV_131,0.998959162899605,undirected,+
ASV_70,ASV_17,0.995100156713173,undirected,+
ASV_666,ASV_17,0.994520550543809,undirected,+
ASV_555,ASV_5,0.991962378413992,undirected,+
ASV_372,ASV_5,0.998058396330935,undirected,+
ASV_713,ASV_5,0.990650510291287,undirected,+
ASV_330,ASV_5,0.995292669951773,undirected,+
ASV_669,ASV_5,0.991462635476671,undirected,+
ASV_99,ASV_268,0.990467542236254,undirected,+
ASV_1138,ASV_268,0.990787276598223,undirected,+
ASV_3037,ASV_60,0.994522965431115,undirected,+
ASV_1711,ASV_60,0.996747742102051,undirected,+
ASV_142,ASV_22,-0.992186416740854,undirected,-
ASV_286,ASV_148,0.990830469437839,undirected,+
ASV_2113,ASV_148,0.997055585129277,undirected,+
ASV_1783,ASV_127,0.991464491037168,undirected,+
ASV_276,ASV_34,-0.993129763322309,undirected,-
ASV_1745,ASV_34,0.990558645219852,undirected,+
ASV_865,ASV_34,0.994680221158983,undirected,+
ASV_33,ASV_185,-0.991855066052603,undirected,-
ASV_65,ASV_185,-0.992859250255218,undirected,-
ASV_866,ASV_185,-0.995848901934684,undirected,-
ASV_299,ASV_185,-0.993308584240969,undirected,-
ASV_6,ASV_185,-0.99113977997296,undirected,-
ASV_221,ASV_185,-0.994128261870124,undirected,-
ASV_223,ASV_185,-0.99617640053665,undirected,-
ASV_504,ASV_185,-0.991938610828587,undirected,-
ASV_674,ASV_185,-0.996009497748211,undirected,-
ASV_869,ASV_185,-0.994645668642501,undirected,-
ASV_1745,ASV_185,-0.990987349156077,undirected,-
ASV_3126,ASV_185,-0.995589349287611,undirected,-
ASV_511,ASV_185,-0.995366217042538,undirected,-
ASV_1421,ASV_185,-0.993868744882968,undirected,-
ASV_905,ASV_185,-0.991710437969589,undirected,-
ASV_959,ASV_185,-0.990524497736235,undirected,-
ASV_3000,ASV_185,-0.997165630875303,undirected,-
ASV_1924,ASV_185,-0.990997937383271,undirected,-
ASV_4919,ASV_185,-0.990682600293552,undirected,-
ASV_107,ASV_214,-0.994306140660178,undirected,-
ASV_221,ASV_214,0.990825906902295,undirected,+
ASV_223,ASV_214,0.992712943083368,undirected,+
ASV_418,ASV_214,0.996990859199185,undirected,+
ASV_691,ASV_214,0.998770298164989,undirected,+
ASV_2759,ASV_214,0.991269948829249,undirected,+
ASV_1195,ASV_214,0.99485394423737,undirected,+
ASV_183,ASV_214,0.998138401383779,undirected,+
ASV_869,ASV_214,0.993827950516019,undirected,+
ASV_1745,ASV_214,0.990453210568543,undirected,+
ASV_4867,ASV_214,0.997769876992544,undirected,+
ASV_511,ASV_214,0.992350041127755,undirected,+
ASV_959,ASV_214,0.990933114217197,undirected,+
ASV_3230,ASV_214,0.993220893363697,undirected,+
ASV_6465,ASV_214,0.990383551126673,undirected,+
ASV_3356,ASV_214,0.998380603813937,undirected,+
ASV_7049,ASV_214,0.994624040671407,undirected,+
ASV_47,ASV_9,0.99688291386532,undirected,+
ASV_149,ASV_9,0.994310992387926,undirected,+
ASV_677,ASV_9,0.991310747008431,undirected,+
ASV_55,ASV_67,0.995565225139733,undirected,+
ASV_725,ASV_67,0.998275115403962,undirected,+
ASV_843,ASV_67,0.994167421977277,undirected,+
ASV_1111,ASV_67,0.991585585182779,undirected,+
ASV_2714,ASV_67,0.993704991823583,undirected,+
ASV_1059,ASV_32,0.99037751916752,undirected,+
ASV_3759,ASV_32,0.990407772473538,undirected,+
ASV_28,ASV_273,-0.991322482444681,undirected,-
ASV_284,ASV_24,0.995169518314934,undirected,+
ASV_408,ASV_24,0.990681255243184,undirected,+
ASV_6232,ASV_24,0.992495716509338,undirected,+
ASV_6465,ASV_24,0.990632767594544,undirected,+
ASV_67,ASV_55,0.995565225139733,undirected,+
ASV_725,ASV_55,0.994443200518831,undirected,+
ASV_843,ASV_55,0.994613056286209,undirected,+
ASV_185,ASV_33,-0.991855066052603,undirected,-
ASV_50,ASV_33,0.997382764643504,undirected,+
ASV_866,ASV_33,0.990655605086487,undirected,+
ASV_6,ASV_33,0.997703032289124,undirected,+
ASV_504,ASV_33,0.996278571152849,undirected,+
ASV_674,ASV_33,0.995501501963225,undirected,+
ASV_947,ASV_33,0.995611347952144,undirected,+
ASV_377,ASV_33,-0.990834332781755,undirected,-
ASV_659,ASV_33,0.991252282813438,undirected,+
ASV_1421,ASV_33,0.999302131184372,undirected,+
ASV_3000,ASV_33,0.990809493351215,undirected,+
ASV_2529,ASV_33,0.99445760894261,undirected,+
ASV_267,ASV_33,0.992093217549263,undirected,+
ASV_2971,ASV_33,0.990259465679221,undirected,+
ASV_4919,ASV_33,0.995315079569655,undirected,+
ASV_2316,ASV_33,0.995284456211327,undirected,+
ASV_2582,ASV_33,0.994605684371179,undirected,+
ASV_34,ASV_276,-0.993129763322309,undirected,-
ASV_1377,ASV_19,-0.990600550344876,undirected,-
ASV_434,ASV_19,-0.995528292208983,undirected,-
ASV_911,ASV_4,0.991317910454282,undirected,+
ASV_9,ASV_47,0.99688291386532,undirected,+
ASV_149,ASV_47,0.990671960209638,undirected,+
ASV_328,ASV_47,0.99348150924709,undirected,+
ASV_677,ASV_47,0.991781516821676,undirected,+
ASV_7046,ASV_47,0.992007024221129,undirected,+
ASV_8377,ASV_47,0.990464193311561,undirected,+
ASV_466,ASV_49,-0.994084371517002,undirected,-
ASV_524,ASV_49,-0.994943667548546,undirected,-
ASV_795,ASV_77,0.996022669558221,undirected,+
ASV_677,ASV_77,0.991518503636474,undirected,+
ASV_824,ASV_15,-0.995379807439749,undirected,-
ASV_3048,ASV_196,0.991856302605341,undirected,+
ASV_1306,ASV_71,0.994170907354235,undirected,+
ASV_17,ASV_70,0.995100156713173,undirected,+
ASV_218,ASV_70,0.991027933784093,undirected,+
ASV_1195,ASV_70,0.99469650659141,undirected,+
ASV_1745,ASV_70,0.991998549644538,undirected,+
ASV_959,ASV_70,0.994385796705092,undirected,+
ASV_273,ASV_28,-0.991322482444681,undirected,-
ASV_503,ASV_28,-0.996083073010773,undirected,-
ASV_179,ASV_28,0.991399581597224,undirected,+
ASV_1836,ASV_28,-0.991566124623287,undirected,-
ASV_341,ASV_492,0.995327392649461,undirected,+
ASV_163,ASV_96,0.992511158953787,undirected,+
ASV_865,ASV_219,-0.992313317888172,undirected,-
ASV_590,ASV_219,-0.992448736383808,undirected,-
ASV_3075,ASV_219,0.990294459102577,undirected,+
ASV_33,ASV_50,0.997382764643504,undirected,+
ASV_6,ASV_50,0.995864451280888,undirected,+
ASV_504,ASV_50,0.996161579656898,undirected,+
ASV_947,ASV_50,0.991727488064849,undirected,+
ASV_2593,ASV_50,0.991991993628799,undirected,+
ASV_659,ASV_50,0.992715300791117,undirected,+
ASV_1421,ASV_50,0.995108099314768,undirected,+
ASV_2529,ASV_50,0.994662095005948,undirected,+
ASV_267,ASV_50,0.994749258116695,undirected,+
ASV_2971,ASV_50,0.997348633051837,undirected,+
ASV_4919,ASV_50,0.991087182805713,undirected,+
ASV_2412,ASV_50,0.995271074669776,undirected,+
ASV_2316,ASV_50,0.997380999096423,undirected,+
ASV_2582,ASV_50,0.995431629129677,undirected,+
ASV_170,ASV_298,0.991531762100305,undirected,+
ASV_494,ASV_298,0.990575252698834,undirected,+
ASV_185,ASV_65,-0.992859250255218,undirected,-
ASV_299,ASV_65,0.992549223058211,undirected,+
ASV_6,ASV_65,0.991618432018036,undirected,+
ASV_504,ASV_65,0.992624761977067,undirected,+
ASV_2206,ASV_65,0.997525262071731,undirected,+
ASV_590,ASV_65,0.993882603756347,undirected,+
ASV_659,ASV_65,0.995003592424241,undirected,+
ASV_2992,ASV_65,0.9931542663539,undirected,+
ASV_1095,ASV_65,0.995909119795776,undirected,+
ASV_905,ASV_65,0.99572179426076,undirected,+
ASV_354,ASV_204,0.997442356822982,undirected,+
ASV_214,ASV_107,-0.994306140660178,undirected,-
ASV_691,ASV_107,-0.994035847762026,undirected,-
ASV_183,ASV_107,-0.996458279716244,undirected,-
ASV_3075,ASV_107,0.990887889325665,undirected,+
ASV_3230,ASV_107,-0.995991931489195,undirected,-
ASV_3356,ASV_107,-0.996339886392815,undirected,-
ASV_2403,ASV_107,-0.994561348980299,undirected,-
ASV_700,ASV_165,0.994384487620927,undirected,+
ASV_506,ASV_188,0.99140166611306,undirected,+
ASV_780,ASV_188,0.992264991522011,undirected,+
ASV_2992,ASV_188,0.992443254210765,undirected,+
ASV_4925,ASV_188,0.994177175364779,undirected,+
ASV_95,ASV_217,0.99528974980192,undirected,+
ASV_230,ASV_217,0.994785302553437,undirected,+
ASV_489,ASV_42,0.993455400505762,undirected,+
ASV_112,ASV_417,0.991075334932023,undirected,+
ASV_1836,ASV_417,0.993081568967394,undirected,+
ASV_185,ASV_866,-0.995848901934684,undirected,-
ASV_33,ASV_866,0.990655605086487,undirected,+
ASV_221,ASV_866,0.998312978283205,undirected,+
ASV_223,ASV_866,0.995358420988119,undirected,+
ASV_674,ASV_866,0.994380502535225,undirected,+
ASV_418,ASV_866,0.994540189186035,undirected,+
ASV_947,ASV_866,0.991827120692596,undirected,+
ASV_506,ASV_866,0.991933004396922,undirected,+
ASV_869,ASV_866,0.995300864786355,undirected,+
ASV_3126,ASV_866,0.995472856653194,undirected,+
ASV_511,ASV_866,0.993767841742407,undirected,+
ASV_1421,ASV_866,0.994128255006705,undirected,+
ASV_905,ASV_866,0.992588354983254,undirected,+
ASV_3000,ASV_866,0.997077523537399,undirected,+
ASV_1924,ASV_866,0.990780733511139,undirected,+
ASV_185,ASV_299,-0.993308584240969,undirected,-
ASV_65,ASV_299,0.992549223058211,undirected,+
ASV_6,ASV_299,0.992825866943367,undirected,+
ASV_674,ASV_299,0.992275463977224,undirected,+
ASV_3126,ASV_299,0.991744286220443,undirected,+
ASV_659,ASV_299,0.991161659712397,undirected,+
ASV_1421,ASV_299,0.990359267029808,undirected,+
ASV_3000,ASV_299,0.993476675847415,undirected,+
ASV_101,ASV_74,0.993163874693321,undirected,+
ASV_217,ASV_95,0.99528974980192,undirected,+
ASV_230,ASV_95,0.99500066710809,undirected,+
ASV_1377,ASV_364,-0.999667007943446,undirected,-
ASV_2137,ASV_364,-0.990730285009371,undirected,-
ASV_1980,ASV_116,0.990440404265813,undirected,+
ASV_933,ASV_278,0.991491360141538,undirected,+
ASV_9,ASV_149,0.994310992387926,undirected,+
ASV_47,ASV_149,0.990671960209638,undirected,+
ASV_383,ASV_149,0.990831182278389,undirected,+
ASV_434,ASV_59,-0.994110163034997,undirected,-
ASV_234,ASV_59,-0.990930625612993,undirected,-
ASV_801,ASV_59,0.993817250527672,undirected,+
ASV_336,ASV_12,0.991328541872058,undirected,+
ASV_74,ASV_101,0.993163874693321,undirected,+
ASV_7118,ASV_101,0.993967147224637,undirected,+
ASV_3704,ASV_101,0.991032069744092,undirected,+
ASV_247,ASV_73,0.994649062828224,undirected,+
ASV_2804,ASV_73,0.990701863731952,undirected,+
ASV_264,ASV_73,0.990710118004797,undirected,+
ASV_992,ASV_73,0.993008537672221,undirected,+
ASV_3704,ASV_73,0.994871823864752,undirected,+
ASV_481,ASV_114,0.992910862210306,undirected,+
ASV_641,ASV_27,0.990969018059734,undirected,+
ASV_954,ASV_109,0.990956601723556,undirected,+
ASV_191,ASV_62,0.997893994332443,undirected,+
ASV_185,ASV_6,-0.99113977997296,undirected,-
ASV_33,ASV_6,0.997703032289124,undirected,+
ASV_50,ASV_6,0.995864451280888,undirected,+
ASV_65,ASV_6,0.991618432018036,undirected,+
ASV_299,ASV_6,0.992825866943367,undirected,+
ASV_504,ASV_6,0.994179646839971,undirected,+
ASV_674,ASV_6,0.99361355148407,undirected,+
ASV_947,ASV_6,0.997162612314361,undirected,+
ASV_2206,ASV_6,0.992790934585276,undirected,+
ASV_659,ASV_6,0.997083866932434,undirected,+
ASV_1421,ASV_6,0.998714148122085,undirected,+
ASV_3000,ASV_6,0.990308534185898,undirected,+
ASV_2529,ASV_6,0.991288430580135,undirected,+
ASV_4919,ASV_6,0.992529828974191,undirected,+
ASV_2316,ASV_6,0.992191060737433,undirected,+
ASV_62,ASV_191,0.997893994332443,undirected,+
ASV_67,ASV_725,0.998275115403962,undirected,+
ASV_55,ASV_725,0.994443200518831,undirected,+
ASV_843,ASV_725,0.992405051384667,undirected,+
ASV_1111,ASV_725,0.996535138509789,undirected,+
ASV_2714,ASV_725,0.995294459827806,undirected,+
ASV_7817,ASV_716,0.992625043845422,undirected,+
ASV_1996,ASV_63,0.995896537935824,undirected,+
ASV_28,ASV_503,-0.996083073010773,undirected,-
ASV_2900,ASV_503,0.990931671896818,undirected,+
ASV_870,ASV_1722,0.994831149167732,undirected,+
ASV_1223,ASV_1722,0.991326748558397,undirected,+
ASV_3464,ASV_1722,0.993293845582065,undirected,+
ASV_6758,ASV_1722,0.993393992568865,undirected,+
ASV_5,ASV_555,0.991962378413992,undirected,+
ASV_3241,ASV_555,0.991535432165239,undirected,+
ASV_372,ASV_555,0.991565840056843,undirected,+
ASV_1344,ASV_555,0.995986191100098,undirected,+
ASV_330,ASV_555,0.99278354898537,undirected,+
ASV_8823,ASV_555,0.991495298682578,undirected,+
ASV_1826,ASV_555,0.99566321938834,undirected,+
ASV_3759,ASV_555,0.992051334543926,undirected,+
ASV_733,ASV_157,0.99163451061666,undirected,+
ASV_123,ASV_397,-0.99069741621155,undirected,-
ASV_323,ASV_397,-0.99133335828605,undirected,-
