OTU	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1	3.21397379912664	5.30648125949013	2.06009222073479	3.30052990158971	2.76026950662899	3.05610823716673	4.07153398732529	5.14150114255581	4.14542983350323	3.03832038917812	4.03172504957039	3.2083633741889	6.24113475177305	6.35495301186258	4.63823431795553	5.24007018663264	3.95201129146083	4.0963277062165
ASV_2	5.65065502183406	3.24462558938704	6.30670831474044	5.87433762301287	7.404187495472	4.88658973338639	2.1095581213647	1.46774477060995	3.45735643900782	3.73815823162926	2.86682088565763	2.1268925739005	3.451536643026	4.11338776767832	2.1822104215068	2.99888339448078	3.85007449227633	3.35226818145452
ASV_3	1.82532751091703	1.36657875809158	2.72943626357281	2.20287660862983	3.19495761790915	2.41941902109033	1.83175622883931	1.32712251713834	3.10057764186205	3.11513185969105	2.57766027759418	2.15392934390771	2.56895193065406	4.86057618240641	2.94556920013276	3.30993778912107	3.22277111267937	2.17617409392751
ASV_4	4.2707423580786	1.12682809877727	1.33868808567604	1.92278576835731	3.46301528653191	1.37684042976522	1.76230575570796	1.69625593250132	1.12979952429494	1.75812921396262	1.76801057501652	1.16258111031002	2.83687943262411	3.63580342012017	1.62628609359442	1.53134471207529	3.06594526778013	2.32018561484919
ASV_8	1.61572052401747	1.54239590825541	1.59898854677971	1.12036336109008	0.557849742809534	0.795861520095503	1.12857018838441	1.58200035155563	4.5361875637105	2.51770931125715	1.71844018506279	1.70331651045422	1.78881008668243	2.09520875057772	1.64288084965151	2.79151379805392	1.32517838939857	1.46411712937035
ASV_6	2.50655021834061	1.80612163350116	2.17908671723933	2.27857683573051	3.48474969209592	2.8491842419419	0.76395520444483	0.808577957461768	0.934420659191301	1.16924127336349	1.09054857898215	1.1986301369863	1.37903861308117	1.42505006932676	1.24460670428145	1.40373265273568	1.19187642123422	1.24809984798784
ASV_7	0.707423580786026	0.343642611683849	3.08641975308642	1.08251324753974	3.1587336086358	0.620771985674493	0.408021529646671	3.8407452979434	2.44648318042813	1.51916019458906	0.537012557832122	0.684931506849315	2.03309692671395	2.38792173779079	1.55160969133754	0.646036050406763	1.56041715674743	2.20017601408113
ASV_9	1.02183406113537	2.18173099976025	0.96683028409936	1.22634367903104	0.673766572484243	1.47234381217668	1.04175709697022	1.28317806292846	1.91980971797486	1.30579499871981	1.71844018506279	1.30677721701514	1.48936170212766	0.870435988291481	1.18652505808165	1.23624182485245	2.05441856818004	1.62412993039443
ASV_10	0.908296943231441	1.02293614640774	1.71798304328425	1.99848599545799	2.68057668622763	1.91006764822921	0.59032902161646	0.527333450518545	0.688073394495413	0.887599214816079	1.13185723727693	0.928262436914203	1.0795902285264	1.53289169619473	0.680384998340524	0.749720848620195	1.48200423429781	0.744059524761981
ASV_11	0.899563318777292	1.12682809877727	0.736278447121821	0.968962906888721	1.35477794682315	1.03461997612415	1.49318517232399	1.17771137282475	0.688073394495413	1.30579499871981	1.0079312623926	0.540735400144196	1.08747044917258	1.33261438915421	1.45204115499502	1.11660551922157	0.799811808986121	1.11208896711737
ASV_14	0.585152838427948	0.487493007272437	0.892458723784025	0.923542770628312	1.45620517278852	0.859530441703144	0.572966403333623	1.56442256987168	1.41012572205233	0.921737646155159	1.47884996695307	0.594808940158616	1.09535066981875	0.778000308118934	1.26120146033853	0.773648109746371	1.45848035756293	1.51212096967757
ASV_12	0.925764192139738	1.00695276912011	0.914770191878626	1.01438304314913	1.17365790045642	0.986868284918424	0.720548658737738	0.580066795570399	0.985389058783554	1.03268754800717	0.991407799074686	0.775054073540014	1.01654846335697	1.50978277615159	1.22801194822436	1.41968416015313	0.846859562455893	0.912072965837267
ASV_15	0.890829694323144	1.19875329657157	1.10069909266696	0.991672975018925	0.978048250380352	1.14604058893752	1.20670197065718	0.896466865881526	0.840978593272171	0.759580097294529	1.14838070059484	1.1986301369863	0.732860520094563	0.662455707903251	0.9459010952539	1.10065401180412	0.909589900415589	0.9760780862469
ASV_13	0.0873362445414847	0.351634300327659	1.65848579503198	0.817562452687358	0.427443309425487	0.652606446478313	0.616372949040715	2.33784496396555	1.69045191980972	1.5362294102586	1.05750165234633	0.450612833453497	0.772261623325453	0.808812201509783	0.622303352140724	0.438666453979901	1.39575001960323	1.59212737018962
ASV_16	0.716157205240175	0.655318468792456	1.27175368139224	0.772142316426949	0.391219300152141	0.580978909669717	0.59032902161646	0.817366848303744	1.85185185185185	0.964410685329009	0.652676801057502	0.513698630136986	1.25295508274232	0.885841934986905	0.672087620311981	0.909235922794704	2.25045087430409	1.02408192655412
