Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned	0.104803493449782	0.0799168864381044	0.081808716346869	0.060560181680545	0.10142722596537	0.11142061281337	0.112857018838441	0.105466690103709	0.195378865103636	0.0768114705129299	0.0991407799074686	0.180245133381399	0.0394011032308905	0.0539208134339855	0.47295054762695	0.0797575370872547	0.0313651689798479	0.080006400512041
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned	0	0.0159833772876209	0.0148743120630671	0	0.00724480185466928	0.0318344608038201	0.104175709697022	0.0263666725259272	0.0254841997961264	0.00853460783476999	0.0660938532716457	0.0630857966834895	0.0394011032308905	0.0385148667385611	0.0331895121141719	0.0319030148349019	0.0156825844899239	0.0240019201536123
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned	0.00873362445414847	0.0319667545752418	0.00743715603153354	0.00757002271006813	0	0.00795861520095503	0.0347252365656741	0.0175777816839515	0.0424736663268773	0.01706921566954	0.0165234633179114	0	0	0.0154059466954244	0.0248921340856289	0	0.00784129224496197	0.0080006400512041
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned	0.00873362445414847	0.0399584432190522	0	0.00757002271006813	0	0	0.104175709697022	0.0175777816839515	0.0424736663268773	0.02560382350431	0.0826173165895572	0.0991348233597693	0.0236406619385343	0.00770297334771222	0.0497842681712579	0.0558302759610783	0	0.0160012801024082
Bacteria|Acidobacteria|Unassigned|Unassigned	0.0786026200873362	0.0719251977942939	0.0223114680946006	0.0151400454201363	0.0217344055640078	0.0238758456028651	0.260439274242556	0.114255580945685	0.0594631328576283	0.0597422548433899	0.190019828155981	0.207281903388608	0.0945626477541371	0.0924356801725466	0.157650182542317	0.0478545222523529	0.0548890457147338	0.0880070405632451
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales	0.00873362445414847	0.0159833772876209	0.00743715603153354	0	0	0	0.0607691639899297	0.0175777816839515	0.0254841997961264	0.00853460783476999	0.0330469266358229	0.0630857966834895	0.0551615445232467	0.00770297334771222	0.0414868901427149	0	0.00784129224496197	0.0160012801024082
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	0.0786026200873362	0.103891952369536	0.208240368882939	0.0681302043906132	0.0724480185466927	0.0636689216076403	0.130219637121278	0.0791000175777817	0.0764525993883792	0.10241529401724	0.05783212161269	0.0991348233597693	0.0472813238770686	0.0770297334771222	0.0829737802854298	0.0797575370872547	0.0705716302046577	0.0640051204096328
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales	0.00873362445414847	0	0.00743715603153354	0	0	0.0397930760047752	0	0.00878889084197574	0	0.00853460783476999	0.00826173165895572	0.0360490266762797	0.00788022064617809	0	0	0.0239272611261764	0.0392064612248098	0.0080006400512041
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales	0.0436681222707424	0.223767282026692	0.0892458723784025	0.0681302043906132	0.0289792074186771	0.0795861520095503	0.138900946262696	0.219722271049394	0.110431532449881	0.0768114705129299	0.0991407799074686	0.333453496755588	0.0551615445232467	0.0385148667385611	0.0995685363425158	0.135587813048333	0.172508429389163	0.0640051204096328
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales	0.0698689956331878	0.127867018300967	0.0446229361892012	0.0227100681302044	0.0362240092733464	0.0557103064066852	0.00868130914141853	0.0175777816839515	0.0679578661230037	0	0.0165234633179114	0.0180245133381399	0.0551615445232467	0.0308118933908489	0.0248921340856289	0.0478545222523529	0.0627303379596958	0.0160012801024082
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	1.38864628820961	1.81411332214497	1.16019634091923	1.21877365632097	0.709990581757589	1.24950258654994	1.51054779060682	1.80172262260503	1.2827047230717	1.31432960655458	1.9580304031725	1.74837779379957	1.26871552403467	0.947465721768603	1.55160969133754	1.47551443611421	1.06641574531483	1.50412032962637
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales	4.34934497816594	6.44130104691121	4.14249590956418	3.67903103709311	1.80395566181265	4.08276959808993	4.47955551697196	6.2313236069608	6.43051308188923	4.40385764274132	4.99834765366821	4.5872386445566	4.88573680063042	3.87459559389925	4.82077663458347	4.12346466741107	4.95569669881596	5.16041283302664
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	0.558951965065502	0.599376648285783	0.60984679458575	0.227100681302044	0.181120046366732	0.222841225626741	0.425384147929508	0.404288978730884	0.305810397553517	0.40112656823419	0.313945803040317	0.360490266762797	0.449172576832151	0.184871360345093	0.672087620311981	0.374860424310097	0.321492982043441	0.240019201536123
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	2.40174672489083	3.87596899224806	3.83013535623977	2.72520817562453	2.47772223429689	3.06406685236769	2.46549179616286	3.76164528036562	2.60788311247027	2.25313646837928	3.26338400528751	2.69466474405191	2.37982663514578	2.30318903096595	3.09492200464653	3.07066517785931	3.14435819022975	2.76822145771662
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales	5.10043668122271	9.91768560696875	5.42168674698795	8.19833459500378	5.00615808157647	4.87067250298448	4.58373122666898	5.53700123044472	4.0859667006456	4.90739950499275	5.87409120951752	4.89365537130497	8.29787234042553	5.32275458326914	6.28111516760704	6.74748763758175	8.36665882537442	6.52852228178254
