Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned|Unassigned	0.104803493449782	0.0799168864381044	0.081808716346869	0.060560181680545	0.10142722596537	0.11142061281337	0.112857018838441	0.105466690103709	0.195378865103636	0.0768114705129299	0.0991407799074686	0.180245133381399	0.0394011032308905	0.0539208134339855	0.47295054762695	0.0797575370872547	0.0313651689798479	0.080006400512041
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned|Unassigned	0	0.0159833772876209	0.0148743120630671	0	0.00724480185466928	0.0318344608038201	0.104175709697022	0.0263666725259272	0.0254841997961264	0.00853460783476999	0.0660938532716457	0.0630857966834895	0.0394011032308905	0.0385148667385611	0.0331895121141719	0.0319030148349019	0.0156825844899239	0.0240019201536123
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned|Unassigned	0.00873362445414847	0.0319667545752418	0.00743715603153354	0.00757002271006813	0	0.00795861520095503	0.0347252365656741	0.0175777816839515	0.0424736663268773	0.01706921566954	0.0165234633179114	0	0	0.0154059466954244	0.0248921340856289	0	0.00784129224496197	0.0080006400512041
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned|Unassigned	0.00873362445414847	0.0399584432190522	0	0.00757002271006813	0	0	0.104175709697022	0.0175777816839515	0.0424736663268773	0.02560382350431	0.0826173165895572	0.0991348233597693	0.0236406619385343	0.00770297334771222	0.0497842681712579	0.0558302759610783	0	0.0160012801024082
Bacteria|Acidobacteria|Unassigned|Unassigned|Unassigned	0.0786026200873362	0.0719251977942939	0.0223114680946006	0.0151400454201363	0.0217344055640078	0.0238758456028651	0.260439274242556	0.114255580945685	0.0594631328576283	0.0597422548433899	0.190019828155981	0.207281903388608	0.0945626477541371	0.0924356801725466	0.157650182542317	0.0478545222523529	0.0548890457147338	0.0880070405632451
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae	0.00873362445414847	0.0159833772876209	0.00743715603153354	0	0	0	0.0607691639899297	0.0175777816839515	0.0254841997961264	0.00853460783476999	0.0330469266358229	0.0630857966834895	0.0551615445232467	0.00770297334771222	0.0414868901427149	0	0.00784129224496197	0.0160012801024082
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae	0.0436681222707424	0.0319667545752418	0.0446229361892012	0.0378501135503407	0.0217344055640078	0.0159172304019101	0.104175709697022	0.00878889084197574	0.0169894665307509	0.04267303917385	0.0330469266358229	0.0630857966834895	0.0157604412923562	0.0231089200431367	0.0248921340856289	0.0239272611261764	0.0235238767348859	0.0320025602048164
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned	0.0349344978165939	0.0719251977942939	0.163617432693738	0.0302800908402725	0.0507136129826849	0.0477516912057302	0.0260439274242556	0.0703111267358059	0.0594631328576283	0.0597422548433899	0.0247851949768672	0.0360490266762797	0.0315208825847124	0.0539208134339855	0.0580816461998009	0.0558302759610783	0.0470477534697718	0.0320025602048164
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae	0.00873362445414847	0	0.00743715603153354	0	0	0.0397930760047752	0	0.00878889084197574	0	0.00853460783476999	0.00826173165895572	0.0360490266762797	0.00788022064617809	0	0	0.0239272611261764	0.0392064612248098	0.0080006400512041
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae	0.0436681222707424	0.223767282026692	0.0892458723784025	0.0681302043906132	0.0289792074186771	0.0795861520095503	0.138900946262696	0.219722271049394	0.110431532449881	0.0768114705129299	0.0991407799074686	0.333453496755588	0.0551615445232467	0.0385148667385611	0.0995685363425158	0.135587813048333	0.172508429389163	0.0640051204096328
