Phylum	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria	0.209606986899563	0.255734036601934	0.133868808567604	0.0908402725208176	0.130406433384047	0.175089534421011	0.677142113030645	0.298822288627175	0.390757730207272	0.19629598019971	0.487442167878387	0.612833453496756	0.252167060677699	0.215683253735942	0.77995353468304	0.215345350135588	0.11761938367443	0.232018561484919
Bacteria|Actinobacteria	25.5807860262009	38.6238312155358	26.944816302246	27.2293716881151	16.735492284286	23.00039793076	27.5197499782967	33.8460186324486	32.6537546721033	27.4387641887855	29.7339722405816	27.5955299206921	34.602048857368	28.6088430134032	30.882841022237	33.322698995055	33.5842546851721	30.4904392351388
Bacteria|Armatimonadetes	0	0.00799168864381044	0.0148743120630671	0.00757002271006813	0	0.0238758456028651	0.0520878548485112	0.0439444542098787	0.0339789330615019	0.00853460783476999	0.0165234633179114	0.0270367700072098	0.0236406619385343	0.00770297334771222	0.0414868901427149	0.0239272611261764	0.0156825844899239	0.0080006400512041
Bacteria|Bacteroidetes	2.96069868995633	2.49340685686886	7.22147850661907	2.88417865253596	4.72361080924437	2.07719856744926	3.66351245767862	7.90121286693619	8.31634386680258	7.39950499274558	3.44514210178453	3.28947368421053	5.16154452324665	5.77723001078416	4.63823431795553	3.77253150422715	4.57147337881283	5.42443395471638
Bacteria|Candidatus_Saccharibacteria	0	0	0.0148743120630671	0.0151400454201363	0.123161631529378	0.00795861520095503	0	0.0878889084197574	0	0.01706921566954	0.0165234633179114	0	0	0	0.0331895121141719	0.00797575370872547	0	0.0480038403072246
Bacteria|Chloroflexi	0.0786026200873362	0.103891952369536	0.0223114680946006	0.060560181680545	0.0652032166920235	0.0557103064066852	0.0607691639899297	0.0263666725259272	0.0849473326537547	0.01706921566954	0.0413086582947786	0.0180245133381399	0.0788022064617809	0.0616237867816977	0.0414868901427149	0.0478545222523529	0.0235238767348859	0.0720057604608369
Bacteria|Firmicutes	1.41484716157205	1.78214656756973	1.02632753235163	3.22482967448902	0.543360139100196	1.51213688818146	4.8268078826287	2.53998945333099	2.33605164797825	3.18340872236921	1.60277594183741	4.70439798125451	0.685579196217494	0.523802187644431	0.987387985396615	0.821502631998724	0.51752528816749	1.08008640691255
Bacteria|Nitrospirae	0.0436681222707424	0.0479501318628626	0.0223114680946006	0.0529901589704769	0.0217344055640078	0.0477516912057302	0.0868130914141853	0.0527333450518545	0.0764525993883792	0.0597422548433899	0.0908790482485129	0.135183850036049	0.0709219858156028	0.06932676012941	0.0746764022568868	0.303078640931568	0.101936799184506	0.152012160972878
Bacteria|Planctomycetes	0.0174672489082969	0.159833772876209	0.081808716346869	0.0227100681302044	0	0.0397930760047752	0.373296293080997	0.553700123044472	0.237852531430513	0.0938806861824699	0.181758096497026	0.333453496755588	0.141843971631206	0.123247573563395	0.16594756057086	0.119636305630882	0.0862542146945817	0.0480038403072246
Bacteria|Proteobacteria	58.8646288209607	44.7934148485575	56.8570578610739	57.6987130961393	70.4774324422227	62.5149224035018	50.0564285094192	42.2921427315873	45.905538566089	50.0896133822651	52.9081295439524	50.5497476568133	45.7604412923562	55.7926359574796	50.0995685363425	51.0926782580954	51.5957029718498	51.2761020881671
Bacteria|Spirochaetes	0.0436681222707424	0.0159833772876209	0.0520600922207348	0.0681302043906132	0.0869376222560313	0.0716275368085953	0.0781317822727667	0.0615222358938302	0.0934420659191302	0.13655372535632	0.11566424322538	0.0540735400144196	0.0394011032308905	0.0847327068248344	0.0746764022568868	0.111660551922157	0.0470477534697718	0.13601088087047
Bacteria|Unassigned	9.54585152838428	10.245344841365	5.88279042094303	7.42619227857684	6.22328479316091	9.28770393951453	10.6346036982377	10.6345579187906	8.32483860006796	9.93428351967227	9.58360872438863	10.7245854361932	11.4814814814815	7.38715144045602	10.4629936939927	8.06348699952146	7.99811808986121	9.49675974077926
Bacteria|Verrucomicrobia	0.0960698689956332	0.0399584432190522	0.096683028409936	0.0227100681302044	0.0579584148373542	0.0875447672105054	0.190988801111208	0.105466690103709	0.271831464492015	0.14508833319109	0.313945803040317	0.387527036770007	0.197005516154452	0.154059466954244	0.232326584799203	0.191418089009411	0.101936799184506	0.112008960716857
